,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7641,0.2098,0.6615,0.4082,0.2353,,0.2985,0.2513,0.8844,20,699,65,29
0_1,0.6642,0.1165,0.5634,0.2041,0.1449,,0.1695,0.1083,0.8795,10,705,59,39
0_2,0.6955,0.1327,0.5875,0.2653,0.1585,,0.1985,0.1383,0.8708,13,695,69,36
0_3,0.7066,0.1213,0.5855,0.2653,0.1529,,0.194,0.1331,0.8672,13,692,72,36
0_4,0.7171,0.1854,0.626,0.375,0.1607,,0.225,0.1723,0.8473,18,670,94,30
0_5,0.7858,0.1936,0.6332,0.3542,0.2024,,0.2576,0.2064,0.8793,17,697,67,31
0_6,0.718,0.142,0.5987,0.2917,0.1628,,0.209,0.1513,0.8695,14,692,72,34
0_7,0.703,0.1092,0.5499,0.1875,0.1184,,0.1452,0.0808,0.8695,9,697,67,39
0_8,0.7705,0.1425,0.6435,0.4167,0.1681,,0.2395,0.1914,0.8436,20,665,99,28
0_9,0.7332,0.2331,0.624,0.3673,0.1651,,0.2278,0.1733,0.8498,18,672,91,31
0_Mean,0.7258,0.1586,0.6073,0.3135,0.1669,,0.2165,0.1606,0.8661,15.2,688.4,75.5,33.3
0_SD,0.0378,0.0434,0.0361,0.0823,0.0318,,0.0439,0.0495,0.0144,3.966526608171604,13.98570698963767,13.858411003991602,4.056544780420347
Mean,0.7258,0.1586,0.6073,0.3135,0.1669,,0.2165,0.1607,0.8661,15.2,688.4,75.5,33.3
SD,0.0378,0.0434,0.0361,0.0823,0.0318,,0.0439,0.0495,0.0144,3.9665,13.9857,13.8584,4.0565
