,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6802,0.1545,0.5489,0.1053,0.25,,0.1481,0.1495,0.9717,2,788,6,17
0_1,0.7376,0.132,0.572,0.1579,0.2143,,0.1818,0.1673,0.9668,3,783,11,16
0_2,0.754,0.1494,0.5977,0.2105,0.25,,0.2286,0.2125,0.9668,4,782,12,15
0_3,0.5803,0.0469,0.5419,0.1053,0.1053,,0.1053,0.0839,0.9582,2,777,17,17
0_4,0.6861,0.1609,0.6228,0.2632,0.2632,,0.2632,0.2455,0.9656,5,780,14,14
0_5,0.625,0.0701,0.547,0.1053,0.1818,,0.1333,0.1228,0.968,2,785,9,17
0_6,0.7583,0.1361,0.5251,0.0526,0.3333,,0.0909,0.1249,0.9754,1,792,2,18
0_7,0.6085,0.0426,0.513,0.05,0.05,,0.05,0.026,0.9533,1,774,19,19
0_8,0.7323,0.1052,0.5695,0.1579,0.1667,,0.1622,0.1427,0.9618,3,778,15,16
0_9,0.6267,0.0506,0.5407,0.1053,0.0952,,0.1,0.0774,0.9557,2,774,19,17
0_Mean,0.6789,0.1048,0.5578,0.1313,0.191,,0.1463,0.1353,0.9643,2.5,781.3,12.4,16.6
0_SD,0.0655,0.048,0.0333,0.0672,0.0882,,0.0652,0.0646,0.007,1.2692955176439846,5.907622195096772,5.58171618371586,1.4298407059684815
Mean,0.6789,0.1048,0.5579,0.1313,0.191,,0.1463,0.1352,0.9643,2.5,781.3,12.4,16.6
SD,0.0655,0.0479,0.0333,0.0672,0.0882,,0.0652,0.0646,0.007,1.2693,5.9076,5.5817,1.4298
