,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7527,0.3692,0.692,0.6129,0.096,,0.1659,0.1713,0.7651,19,603,179,12
0_1,0.7496,0.3892,0.7332,0.6774,0.1129,,0.1935,0.2127,0.7847,21,617,165,10
0_2,0.7699,0.3612,0.7171,0.6452,0.1081,,0.1852,0.1983,0.7835,20,617,165,11
0_3,0.7097,0.3249,0.6901,0.6129,0.0945,,0.1638,0.1688,0.7614,19,600,182,12
0_4,0.7236,0.3306,0.6714,0.5806,0.0882,,0.1532,0.1514,0.7552,18,596,186,13
0_5,0.7648,0.4033,0.7086,0.6333,0.1011,,0.1743,0.1866,0.7783,19,613,169,11
0_6,0.7824,0.4255,0.7318,0.6774,0.1117,,0.1918,0.2106,0.782,21,614,167,10
0_7,0.7555,0.3274,0.7137,0.6452,0.1053,,0.181,0.1935,0.7771,20,611,170,11
0_8,0.7206,0.3222,0.6764,0.5806,0.0918,,0.1586,0.158,0.7648,18,603,178,13
0_9,0.7872,0.4536,0.7685,0.7419,0.1257,,0.215,0.2463,0.7931,23,621,160,8
0_Mean,0.7516,0.3707,0.7103,0.6408,0.1035,,0.1782,0.1897,0.7745,19.8,609.5,172.1,11.1
0_SD,0.0263,0.0463,0.0295,0.0492,0.0115,,0.0189,0.0289,0.0122,1.5491933384829668,8.409650541028576,8.5693251387337,1.5238839267549946
Mean,0.7516,0.3707,0.7103,0.6407,0.1035,,0.1782,0.1897,0.7745,19.8,609.5,172.1,11.1
SD,0.0263,0.0463,0.0295,0.0492,0.0115,,0.0189,0.0289,0.0122,1.5492,8.4097,8.5693,1.5239
