,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8118,0.4188,0.7926,0.7647,0.0833,,0.1503,0.2126,0.8194,13,654,143,4
0_1,0.6959,0.2953,0.6953,0.5625,0.0616,,0.1111,0.1413,0.8229,9,660,137,7
0_2,0.6957,0.227,0.6278,0.4375,0.0461,,0.0833,0.091,0.8106,7,652,145,9
0_3,0.604,0.1856,0.5896,0.375,0.037,,0.0674,0.0623,0.7958,6,641,156,10
0_4,0.7756,0.2717,0.7284,0.625,0.0694,,0.125,0.1662,0.8278,10,663,134,6
0_5,0.8733,0.4525,0.849,0.875,0.0903,,0.1637,0.2468,0.8241,14,656,141,2
0_6,0.715,0.2221,0.6511,0.4706,0.0563,,0.1006,0.1139,0.8241,8,662,134,9
0_7,0.7692,0.3537,0.7306,0.6471,0.0692,,0.125,0.1663,0.8106,11,648,148,6
0_8,0.6837,0.1877,0.6768,0.5294,0.0604,,0.1084,0.1307,0.818,9,656,140,8
0_9,0.8255,0.3873,0.7844,0.7647,0.0769,,0.1398,0.2005,0.8032,13,640,156,4
0_Mean,0.745,0.3002,0.7126,0.6051,0.0651,,0.1175,0.1532,0.8156,10.0,653.2,143.4,6.5
0_SD,0.0805,0.0976,0.0806,0.1608,0.0163,,0.0296,0.057,0.0103,2.70801280154532,8.0801540139337,8.002777295692066,2.592724864350674
Mean,0.745,0.3002,0.7126,0.6052,0.065,,0.1175,0.1532,0.8156,10.0,653.2,143.4,6.5
SD,0.0805,0.0976,0.0806,0.1608,0.0163,,0.0296,0.057,0.0103,2.708,8.0802,8.0028,2.5927
