,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8373,0.8166,0.7692,0.084,0.1515,0.2247,0.8624
0_1,0.8759,0.8266,0.7692,0.0971,0.1724,0.2463,0.8821
0_2,0.7335,0.6932,0.5,0.0619,0.1101,0.1437,0.8807
0_3,0.8817,0.8611,0.8333,0.101,0.1802,0.2663,0.8881
0_4,0.8009,0.7899,0.6923,0.0909,0.1607,0.2224,0.8844
0_5,0.885,0.86,0.8462,0.0982,0.176,0.262,0.8733
0_6,0.8341,0.7912,0.6923,0.0928,0.1636,0.2253,0.8868
0_7,0.7469,0.7111,0.5385,0.07,0.1239,0.1613,0.8782
0_8,0.8345,0.8227,0.7692,0.0917,0.1639,0.2376,0.8745
0_9,0.8031,0.7974,0.6923,0.1034,0.18,0.2414,0.8991
0_Mean,0.8233,0.797,0.7103,0.0891,0.1582,0.2231,0.881
0_SD,0.053,0.056,0.1149,0.0135,0.0238,0.0403,0.0099
Mean,0.8233,0.797,0.7103,0.0891,0.1582,0.2231,0.881
SD,0.0529,0.056,0.1149,0.0135,0.0238,0.0403,0.0099
