,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7338,0.2188,0.7411,0.625,0.0459,,0.0855,0.1407,0.8546,5,624,104,3
0_1,0.6829,0.2158,0.6332,0.375,0.0366,,0.0667,0.0878,0.8859,3,649,79,5
0_2,0.6156,0.1459,0.6277,0.375,0.0333,,0.0612,0.0809,0.875,3,641,87,5
0_3,0.5537,0.0788,0.5749,0.25,0.0267,,0.0482,0.0513,0.8927,2,655,73,6
0_4,0.6212,0.2113,0.6284,0.375,0.0337,,0.0619,0.0817,0.8764,3,642,86,5
0_5,0.5628,0.1446,0.5749,0.25,0.0267,,0.0482,0.0513,0.8927,2,655,73,6
0_6,0.8267,0.2756,0.8318,0.7778,0.0778,,0.1414,0.2226,0.8845,7,644,83,2
0_7,0.6725,0.1513,0.6915,0.5,0.0449,,0.0825,0.1218,0.8789,4,642,85,4
0_8,0.6692,0.1497,0.6235,0.375,0.0312,,0.0577,0.0761,0.8667,3,634,93,5
0_9,0.6884,0.2816,0.686,0.5,0.0412,,0.0762,0.1141,0.868,4,634,93,4
0_Mean,0.6627,0.1873,0.6613,0.4403,0.0398,,0.0729,0.1028,0.8775,3.6,642.0,85.6,4.5
0_SD,0.0809,0.0642,0.0791,0.1649,0.015,,0.0273,0.051,0.0121,1.5055453054181622,9.683892697555967,9.53589709116732,1.2692955176439846
Mean,0.6627,0.1873,0.6613,0.4403,0.0398,,0.0729,0.1028,0.8775,3.6,642.0,85.6,4.5
SD,0.0809,0.0642,0.0791,0.1649,0.015,,0.0273,0.051,0.0121,1.5055,9.6839,9.5359,1.2693
