,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6328,0.1802,0.6353,0.3333,0.0213,,0.04,0.0705,0.9348,1,687,46,2
0_1,0.9911,0.5938,0.9754,1.0,0.0769,,0.1429,0.2705,0.9511,3,697,36,0
0_2,0.6296,0.1797,0.6291,0.3333,0.0179,,0.0339,0.0621,0.9226,1,678,55,2
0_3,0.4659,0.002,0.4741,0.0,0.0,,,-0.0149,0.9443,0,695,38,3
0_4,0.7885,0.0218,0.638,0.3333,0.0233,,0.0435,0.075,0.9402,1,691,42,2
0_5,0.5958,0.1436,0.6045,0.25,0.0323,,0.0571,0.0765,0.9552,1,702,30,3
0_6,0.8081,0.3677,0.7985,0.6667,0.0377,,0.0714,0.1471,0.9293,2,681,51,1
0_7,0.8067,0.3652,0.7971,0.6667,0.0364,,0.069,0.144,0.9265,2,679,53,1
0_8,0.9551,0.2055,0.8026,0.6667,0.0426,,0.08,0.1577,0.9374,2,687,45,1
0_9,0.9686,0.2144,0.9699,1.0,0.0638,,0.12,0.2449,0.9401,3,688,44,0
0_Mean,0.7642,0.2274,0.7325,0.525,0.0352,,0.0731,0.1233,0.9381,1.6,688.5,44.0,1.5
0_SD,0.1785,0.1758,0.1637,0.3288,0.0224,,0.0369,0.0874,0.0104,0.9660917830792959,7.919736247011148,7.859884081701064,1.0801234497346435
Mean,0.7642,0.2274,0.7324,0.525,0.0352,,0.0731,0.1233,0.9382,1.6,688.5,44.0,1.5
SD,0.1785,0.1758,0.1636,0.3288,0.0224,,0.0369,0.0874,0.0104,0.9661,7.9197,7.8599,1.0801
