,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7396,0.3687,0.7169,0.7755,0.1271,,0.2184,0.2141,0.6654,38,503,261,11
0_1,0.6697,0.3139,0.6119,0.551,0.0975,,0.1656,0.1124,0.6654,27,514,250,22
0_2,0.6671,0.3157,0.6336,0.5918,0.1047,,0.1779,0.1342,0.6704,29,516,248,20
0_3,0.6243,0.2682,0.6254,0.5714,0.1026,,0.1739,0.1264,0.6728,28,519,245,21
0_4,0.7125,0.2934,0.6606,0.6667,0.1081,,0.186,0.1573,0.6552,32,500,264,16
0_5,0.7021,0.3347,0.6769,0.6875,0.1146,,0.1964,0.1744,0.6675,33,509,255,15
0_6,0.7092,0.3534,0.6644,0.6875,0.1075,,0.1859,0.1599,0.6441,33,490,274,15
0_7,0.6622,0.2524,0.6364,0.6458,0.0981,,0.1703,0.132,0.6281,31,479,285,17
0_8,0.7126,0.3611,0.669,0.7083,0.1073,,0.1863,0.1634,0.6342,34,481,283,14
0_9,0.7049,0.3179,0.6901,0.7551,0.1146,,0.1989,0.185,0.633,37,477,286,12
0_Mean,0.6904,0.3179,0.6585,0.6641,0.1082,,0.186,0.1559,0.6536,32.2,498.8,265.1,16.3
0_SD,0.0337,0.0386,0.0321,0.075,0.0088,,0.0156,0.0307,0.0172,3.614784456460256,16.05407528739458,15.905624441966712,3.7133393177689658
Mean,0.6904,0.3179,0.6585,0.6641,0.1082,,0.186,0.1559,0.6536,32.2,498.8,265.1,16.3
SD,0.0337,0.0385,0.0321,0.0751,0.0088,,0.0156,0.0307,0.0172,3.6148,16.0541,15.9056,3.7133
