,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6741,0.6031,0.4583,0.0524,0.094,0.0797,0.7392
0_1,0.6957,0.6731,0.625,0.0638,0.1158,0.1293,0.7183
0_2,0.646,0.6291,0.5217,0.0545,0.0988,0.0963,0.7303
0_3,0.5889,0.5868,0.4348,0.0463,0.0837,0.0652,0.7303
0_4,0.7072,0.6719,0.6087,0.0628,0.1138,0.1278,0.7315
0_5,0.6575,0.6417,0.5217,0.06,0.1076,0.1091,0.7549
0_6,0.5593,0.5362,0.3043,0.0368,0.0657,0.0284,0.7549
0_7,0.6698,0.6282,0.4783,0.0591,0.1053,0.1012,0.7697
0_8,0.7349,0.7088,0.6522,0.075,0.1345,0.1608,0.7623
0_9,0.6135,0.5902,0.4583,0.0478,0.0866,0.0678,0.7143
0_Mean,0.6547,0.6269,0.5063,0.0559,0.1006,0.0966,0.7406
0_SD,0.0544,0.0504,0.1041,0.0107,0.0194,0.0381,0.0189
Mean,0.6547,0.6269,0.5063,0.0558,0.1006,0.0966,0.7406
SD,0.0545,0.0504,0.1042,0.0107,0.0194,0.0381,0.0189
