,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6932,0.2451,0.6785,0.5882,0.0515,,0.0948,0.1199,0.7651,10,612,184,7
0_1,0.5348,0.1116,0.5628,0.3529,0.0321,,0.0588,0.0427,0.7638,6,615,181,11
0_2,0.6604,0.2111,0.6523,0.5294,0.0479,,0.0878,0.1033,0.77,9,617,179,8
0_3,0.6333,0.2399,0.589,0.4118,0.0363,,0.0667,0.0599,0.7589,7,610,186,10
0_4,0.6772,0.2412,0.6328,0.5294,0.0411,,0.0763,0.0857,0.7319,9,586,210,8
0_5,0.6464,0.2098,0.6097,0.4706,0.0385,,0.0711,0.0719,0.7429,8,596,200,9
0_6,0.6305,0.2377,0.6208,0.4706,0.0421,,0.0773,0.0817,0.7648,8,613,182,9
0_7,0.5383,0.1408,0.5408,0.2941,0.0287,,0.0524,0.0285,0.7771,5,626,169,12
0_8,0.7339,0.2532,0.6603,0.5294,0.0514,,0.0938,0.1116,0.7857,9,629,166,8
0_9,0.6107,0.1758,0.5839,0.4118,0.0348,,0.0642,0.0556,0.7488,7,601,194,10
0_Mean,0.6359,0.2066,0.6131,0.4588,0.0404,,0.0743,0.0761,0.7609,7.8,610.5,185.1,9.2
0_SD,0.063,0.0486,0.0443,0.0911,0.0079,,0.0145,0.0301,0.0161,1.5491933384829668,13.142382669144215,13.378672912097406,1.5491933384829668
Mean,0.6359,0.2066,0.6131,0.4588,0.0404,,0.0743,0.0761,0.7609,7.8,610.5,185.1,9.2
SD,0.063,0.0486,0.0443,0.0911,0.0079,,0.0145,0.03,0.016,1.5492,13.1424,13.3787,1.5492
