,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6515,0.5099,0.6098,0.5833,0.5385,,0.56,0.2178,0.614,14,21,12,10
0_1,0.6263,0.5386,0.6136,0.5,0.5714,,0.5333,0.2326,0.6316,12,24,9,12
0_2,0.77,0.7188,0.735,0.72,0.6923,,0.7059,0.4682,0.7368,18,24,8,7
0_3,0.825,0.6655,0.7862,0.76,0.76,,0.76,0.5725,0.7895,19,26,6,6
0_4,0.72,0.7064,0.655,0.56,0.6364,,0.5957,0.316,0.6667,14,24,8,11
0_5,0.6131,0.5511,0.5794,0.44,0.55,,0.4889,0.1651,0.5965,11,23,9,14
0_6,0.715,0.6725,0.655,0.56,0.6364,,0.5957,0.316,0.6667,14,24,8,11
0_7,0.705,0.5579,0.6481,0.64,0.5926,,0.6154,0.2944,0.6491,16,21,11,9
0_8,0.765,0.6877,0.6419,0.44,0.6875,,0.5366,0.3133,0.6667,11,27,5,14
0_9,0.7409,0.7539,0.7292,0.7083,0.68,,0.6939,0.4563,0.7321,17,24,8,7
0_Mean,0.7132,0.6362,0.6653,0.5912,0.6345,,0.6085,0.3352,0.675,14.6,23.8,8.4,10.1
0_SD,0.0672,0.0877,0.0648,0.1141,0.0716,,0.0867,0.1268,0.0604,2.836272984824353,1.8737959096740262,2.065591117977289,2.8460498941515415
Mean,0.7132,0.6362,0.6653,0.5912,0.6345,,0.6085,0.3352,0.675,14.6,23.8,8.4,10.1
SD,0.0672,0.0877,0.0648,0.1141,0.0715,,0.0867,0.1268,0.0604,2.8363,1.8738,2.0656,2.846
