,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8333,0.6042,0.875,0.6364,0.7368,0.2513,0.6429
0_1,0.9375,0.7917,0.75,0.8571,0.8,0.5774,0.7857
0_2,0.75,0.5625,0.625,0.625,0.625,0.125,0.5714
0_3,0.5833,0.5833,0.5,0.6667,0.5714,0.1667,0.5714
0_4,0.6875,0.7292,0.625,0.8333,0.7143,0.4583,0.7143
0_5,0.7917,0.7292,0.625,0.8333,0.7143,0.4583,0.7143
0_6,0.5208,0.6042,0.875,0.6364,0.7368,0.2513,0.6429
0_7,0.6667,0.625,0.75,0.6667,0.7059,0.2582,0.6429
0_8,0.5111,0.4333,0.6667,0.6,0.6316,-0.1414,0.5
0_9,0.75,0.675,0.75,0.75,0.75,0.35,0.6923
0_Mean,0.7032,0.6338,0.7042,0.7105,0.6986,0.2755,0.6478
0_SD,0.1375,0.1024,0.1186,0.0987,0.0687,0.2037,0.0839
Mean,0.7032,0.6338,0.7042,0.7105,0.6986,0.2755,0.6478
SD,0.1375,0.1025,0.1186,0.0986,0.0687,0.2037,0.084
