,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7749,0.3901,0.7114,0.5161,0.1798,,0.2667,0.2593,0.8918,16,709,73,15
0_1,0.8176,0.5386,0.7636,0.6129,0.2209,,0.3248,0.3283,0.9028,19,715,67,12
0_2,0.8167,0.527,0.7301,0.5484,0.1977,,0.2906,0.2865,0.8979,17,713,69,14
0_3,0.735,0.3337,0.7133,0.5161,0.186,,0.2735,0.2656,0.8954,16,712,70,15
0_4,0.6464,0.3644,0.6779,0.4516,0.1573,,0.2333,0.2182,0.8868,14,707,75,17
0_5,0.7752,0.4221,0.7411,0.5667,0.2048,,0.3009,0.3003,0.9027,17,716,66,13
0_6,0.853,0.5917,0.7945,0.6774,0.2333,,0.3471,0.3596,0.9027,21,712,69,10
0_7,0.6969,0.3115,0.65,0.3871,0.15,,0.2162,0.1929,0.8929,12,713,68,19
0_8,0.7283,0.3832,0.7048,0.4839,0.2055,,0.2885,0.2744,0.9089,15,723,58,16
0_9,0.8014,0.525,0.7816,0.6452,0.2381,,0.3478,0.3544,0.9076,20,717,64,11
0_Mean,0.7645,0.4387,0.7268,0.5405,0.1973,,0.2889,0.284,0.899,16.7,713.7,67.9,14.2
0_SD,0.063,0.0984,0.0452,0.0891,0.0297,,0.044,0.0543,0.0072,2.7507574714370344,4.4484703987875305,4.72463990397387,2.780887148615228
Mean,0.7645,0.4387,0.7268,0.5405,0.1973,,0.2889,0.284,0.899,16.7,713.7,67.9,14.2
SD,0.0629,0.0984,0.0452,0.0891,0.0297,,0.044,0.0543,0.0072,2.7508,4.4485,4.7246,2.7809
