,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8392,0.0912,0.6861,0.4375,0.1186,,0.1867,0.1993,0.925,7,745,52,9
0_1,0.6853,0.1608,0.6657,0.4118,0.0986,,0.1591,0.1679,0.909,7,732,64,10
0_2,0.74,0.3265,0.7258,0.5294,0.1268,,0.2045,0.2288,0.9139,9,734,62,8
0_3,0.7782,0.4364,0.7558,0.5882,0.1408,,0.2273,0.2593,0.9164,10,735,61,7
0_4,0.7601,0.3651,0.7058,0.4706,0.1455,,0.2222,0.2345,0.9311,8,749,47,9
0_5,0.7804,0.359,0.7608,0.5882,0.1587,,0.25,0.2792,0.9262,10,743,53,7
0_6,0.8693,0.3608,0.732,0.5294,0.1475,,0.2308,0.2521,0.9262,9,744,52,8
0_7,0.7594,0.3887,0.7402,0.5294,0.1875,,0.2769,0.2916,0.9422,9,757,39,8
0_8,0.7015,0.2824,0.6726,0.4118,0.1167,,0.1818,0.1889,0.9225,7,743,53,10
0_9,0.638,0.2094,0.6382,0.3529,0.0896,,0.1429,0.1438,0.9114,6,735,61,11
0_Mean,0.7551,0.298,0.7083,0.4849,0.133,,0.2082,0.2245,0.9224,8.2,741.7,54.4,8.7
0_SD,0.0691,0.1106,0.0414,0.0802,0.0291,,0.0414,0.0485,0.0101,1.398411797560202,7.8180702364600325,7.7774603109812706,1.3374935098492586
Mean,0.7551,0.298,0.7083,0.4849,0.133,,0.2082,0.2245,0.9224,8.2,741.7,54.4,8.7
SD,0.0691,0.1106,0.0414,0.0802,0.0291,,0.0413,0.0485,0.0101,1.3984,7.8181,7.7775,1.3375
