,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6288,0.0982,0.6369,0.381,0.086,,0.1404,0.1364,0.8796,8,708,85,13
0_1,0.652,0.048,0.5724,0.2381,0.0633,,0.1,0.0775,0.8894,5,719,74,16
0_2,0.5874,0.0509,0.5865,0.2727,0.0706,,0.1121,0.0917,0.8833,6,713,79,16
0_3,0.546,0.043,0.6016,0.3333,0.0636,,0.1069,0.0943,0.8561,7,689,103,14
0_4,0.6011,0.0392,0.5892,0.2857,0.0659,,0.1071,0.0898,0.877,6,707,85,15
0_5,0.6193,0.0641,0.6098,0.3333,0.0722,,0.1186,0.1075,0.8721,7,702,90,14
0_6,0.6258,0.0553,0.6337,0.381,0.0816,,0.1345,0.1302,0.8733,8,702,90,13
0_7,0.6283,0.0564,0.5711,0.2381,0.0617,,0.098,0.0753,0.8868,5,716,76,16
0_8,0.6124,0.0956,0.581,0.2857,0.0577,,0.096,0.0769,0.861,6,694,98,15
0_9,0.64,0.0836,0.6117,0.3333,0.0745,,0.1217,0.1109,0.8758,7,705,87,14
0_Mean,0.6141,0.0634,0.5994,0.3082,0.0697,,0.1135,0.0991,0.8754,6.5,705.5,86.7,14.6
0_SD,0.0302,0.0215,0.0235,0.0523,0.0091,,0.0152,0.0218,0.0106,1.0801234497346435,9.348202441586771,9.165757530674217,1.1737877907772671
Mean,0.6141,0.0634,0.5994,0.3082,0.0697,,0.1135,0.099,0.8754,6.5,705.5,86.7,14.6
SD,0.0302,0.0215,0.0235,0.0523,0.0091,,0.0152,0.0218,0.0106,1.0801,9.3482,9.1658,1.1738
