,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7412,0.733,0.5263,0.1724,0.2597,0.2735,0.93
0_1,0.7054,0.7367,0.5263,0.1923,0.2817,0.2923,0.9373
0_2,0.7444,0.7117,0.4737,0.1837,0.2647,0.2688,0.9386
0_3,0.7853,0.7267,0.5,0.1957,0.2812,0.2888,0.9434
0_4,0.8258,0.7589,0.5556,0.25,0.3448,0.3523,0.9533
0_5,0.8313,0.7848,0.6111,0.25,0.3548,0.3704,0.9508
0_6,0.5952,0.6156,0.2778,0.119,0.1667,0.1537,0.9385
0_7,0.6683,0.6889,0.4444,0.1311,0.2025,0.211,0.9225
0_8,0.8072,0.7835,0.6111,0.2391,0.3438,0.3612,0.9483
0_9,0.7804,0.731,0.5263,0.1639,0.25,0.265,0.9262
0_Mean,0.7485,0.7271,0.5053,0.1897,0.275,0.2837,0.9389
0_SD,0.0749,0.0492,0.0959,0.0462,0.0615,0.0676,0.0104
Mean,0.7485,0.7271,0.5053,0.1897,0.275,0.2837,0.9389
SD,0.0749,0.0492,0.0959,0.0462,0.0615,0.0677,0.0104
