,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.515,0.0049,0.4957,0.0,0.0,,,-0.0057,0.9877,0,804,7,3
0_1,0.8266,0.6686,0.8303,0.6667,0.2857,,0.4,0.4335,0.9926,2,806,5,1
0_2,0.6874,0.0037,0.4932,0.0,0.0,,,-0.0058,0.984,0,800,11,2
0_3,0.8866,0.0235,0.4975,0.0,0.0,,,-0.0035,0.9926,0,807,4,2
0_4,0.4321,0.0575,0.6642,0.3333,0.2,,0.25,0.2547,0.9926,1,806,4,2
0_5,0.6383,0.3375,0.6654,0.3333,0.3333,,0.3333,0.3309,0.9951,1,808,2,2
0_6,0.8416,0.5299,0.8309,0.6667,0.3333,,0.4444,0.4688,0.9938,2,806,4,1
0_7,0.8189,0.3418,0.6636,0.3333,0.1667,,0.2222,0.2318,0.9914,1,805,5,2
0_8,0.6605,0.0871,0.663,0.3333,0.1429,,0.2,0.2139,0.9902,1,804,6,2
0_9,0.4934,0.0855,0.663,0.3333,0.1429,,0.2,0.2139,0.9902,1,804,6,2
0_Mean,0.68,0.214,0.6467,0.3,0.1605,,0.2929,0.2132,0.991,0.9,805.0,5.4,1.9
0_SD,0.1617,0.2402,0.1237,0.246,0.1312,,0.1001,0.174,0.0032,0.7378647873726218,2.211083193570267,2.4129281427805145,0.5676462121975467
Mean,0.68,0.214,0.6467,0.3,0.1605,,0.2928,0.2133,0.991,0.9,805.0,5.4,1.9
SD,0.1617,0.2402,0.1237,0.246,0.1312,,0.1001,0.174,0.0032,0.7379,2.2111,2.4129,0.5676
