,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.629,0.145,0.6254,0.375,0.0841,,0.1374,0.1256,0.861,9,691,98,15
0_1,0.688,0.1832,0.5749,0.2917,0.0588,,0.0979,0.0717,0.8413,7,677,112,17
0_2,0.5408,0.0783,0.5409,0.2174,0.0446,,0.0741,0.0393,0.8461,5,682,107,18
0_3,0.6251,0.0811,0.5696,0.2609,0.0588,,0.096,0.0697,0.8608,6,693,96,17
0_4,0.641,0.0844,0.539,0.2174,0.0435,,0.0725,0.0371,0.8424,5,679,110,18
0_5,0.6515,0.0952,0.6175,0.3478,0.0825,,0.1333,0.1202,0.8719,8,700,89,15
0_6,0.4888,0.0574,0.5466,0.2174,0.0485,,0.0794,0.0465,0.8571,5,691,98,18
0_7,0.6293,0.071,0.6367,0.3913,0.0882,,0.144,0.1369,0.8682,9,696,93,14
0_8,0.5886,0.0584,0.5844,0.3043,0.0614,,0.1022,0.0806,0.8485,7,682,107,16
0_9,0.6195,0.0833,0.6134,0.3333,0.087,,0.1379,0.1212,0.8768,8,704,84,16
0_Mean,0.6102,0.0937,0.5848,0.2957,0.0657,,0.1075,0.0849,0.8574,6.9,689.5,99.4,16.4
0_SD,0.0575,0.0399,0.0366,0.066,0.018,,0.0283,0.0383,0.0126,1.5951314818673865,9.180292902613607,9.359487165438072,1.4298407059684815
Mean,0.6102,0.0937,0.5848,0.2957,0.0657,,0.1075,0.0849,0.8574,6.9,689.5,99.4,16.4
SD,0.0575,0.0399,0.0366,0.066,0.018,,0.0283,0.0383,0.0126,1.5951,9.1803,9.3595,1.4298
