,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6654,0.5375,0.6818,0.6667,0.6154,,0.64,0.3605,0.6842,16,23,10,8
0_1,0.6604,0.6107,0.5663,0.375,0.5294,,0.439,0.1431,0.5965,9,25,8,15
0_2,0.7688,0.7299,0.6925,0.76,0.6129,,0.6786,0.3836,0.6842,19,20,12,6
0_3,0.8375,0.6848,0.7906,0.8,0.7407,,0.7692,0.5777,0.7895,20,25,7,5
0_4,0.7362,0.7005,0.695,0.64,0.6667,,0.6531,0.392,0.7018,16,24,8,9
0_5,0.6481,0.5841,0.6219,0.4,0.6667,,0.5,0.2747,0.6491,10,27,5,15
0_6,0.73,0.6497,0.6862,0.56,0.7,,0.6222,0.3873,0.7018,14,26,6,11
0_7,0.73,0.5792,0.735,0.72,0.6923,,0.7059,0.4682,0.7368,18,24,8,7
0_8,0.7562,0.7181,0.655,0.56,0.6364,,0.5957,0.316,0.6667,14,24,8,11
0_9,0.7148,0.7373,0.6667,0.7083,0.5862,,0.6415,0.3301,0.6607,17,20,12,7
0_Mean,0.7247,0.6532,0.6791,0.619,0.6447,,0.6245,0.3633,0.6871,15.3,23.8,8.4,9.4
0_SD,0.0572,0.0714,0.0604,0.1445,0.0616,,0.0958,0.1147,0.0518,3.622460796505909,2.2997584414213783,2.3190036174568114,3.533962208186286
Mean,0.7247,0.6532,0.6791,0.619,0.6447,,0.6245,0.3633,0.6871,15.3,23.8,8.4,9.4
SD,0.0572,0.0714,0.0603,0.1445,0.0616,,0.0958,0.1147,0.0518,3.6225,2.2998,2.319,3.534
