,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7875,0.8436,0.6625,0.7,0.7,,0.7,0.325,0.6667,7,5,3,3
0_1,0.6125,0.6345,0.6125,0.6,0.6667,,0.6316,0.2236,0.6111,6,5,3,4
0_2,0.6625,0.7569,0.5875,0.8,0.6154,,0.6957,0.1941,0.6111,8,3,5,2
0_3,0.6494,0.7654,0.7208,0.7273,0.8,,0.7619,0.4332,0.7222,8,5,2,3
0_4,0.8442,0.9022,0.7662,0.8182,0.8182,,0.8182,0.5325,0.7778,9,5,2,2
0_5,0.5,0.6512,0.4429,0.6,0.5455,,0.5714,-0.1177,0.4706,6,2,5,4
0_6,0.4429,0.5085,0.5429,0.8,0.6154,,0.6957,0.0994,0.5882,8,2,5,2
0_7,0.7571,0.8059,0.6857,0.8,0.7273,,0.7619,0.3825,0.7059,8,4,3,2
0_8,0.6429,0.6942,0.5857,0.6,0.6667,,0.6316,0.169,0.5882,6,4,3,4
0_9,0.6286,0.6255,0.7071,0.7,0.7778,,0.7368,0.4085,0.7059,7,5,2,3
0_Mean,0.6527,0.7188,0.6314,0.7145,0.6933,,0.7005,0.265,0.6448,7.3,4.0,3.3,2.9
0_SD,0.1227,0.1181,0.0964,0.0898,0.0887,,0.0737,0.1908,0.0886,1.0593499054713802,1.247219128924647,1.2516655570345725,0.8755950357709131
Mean,0.6528,0.7188,0.6314,0.7145,0.6933,,0.7005,0.265,0.6448,7.3,4.0,3.3,2.9
SD,0.1227,0.1181,0.0963,0.0898,0.0886,,0.0737,0.1908,0.0886,1.0593,1.2472,1.2517,0.8756
