,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8333,0.8693,0.6875,0.875,0.7,,0.7778,0.4108,0.7143,7,3,3,1
0_1,0.9167,0.9262,0.8542,0.875,0.875,,0.875,0.7083,0.8571,7,5,1,1
0_2,0.6667,0.6166,0.7083,0.75,0.75,,0.75,0.4167,0.7143,6,4,2,2
0_3,0.6875,0.7628,0.6458,0.625,0.7143,,0.6667,0.2887,0.6429,5,4,2,3
0_4,0.6667,0.7689,0.6667,0.5,0.8,,0.6154,0.3443,0.6429,4,5,1,4
0_5,0.8542,0.85,0.7917,0.75,0.8571,,0.8,0.5774,0.7857,6,5,1,2
0_6,0.5417,0.6288,0.6042,0.875,0.6364,,0.7368,0.2513,0.6429,7,2,4,1
0_7,0.7708,0.8208,0.7917,0.75,0.8571,,0.8,0.5774,0.7857,6,5,1,2
0_8,0.4667,0.6051,0.4778,0.5556,0.625,,0.5882,-0.043,0.5,5,2,3,4
0_9,0.725,0.8036,0.7,1.0,0.7273,,0.8421,0.5394,0.7692,8,2,3,0
0_Mean,0.7129,0.7652,0.6928,0.7556,0.7542,,0.7452,0.4071,0.7055,6.1,3.7,2.1,2.0
0_SD,0.1392,0.113,0.1069,0.1581,0.0905,,0.0949,0.2137,0.1022,1.1972189997378646,1.3374935098492586,1.1005049346146119,1.3333333333333333
Mean,0.7129,0.7652,0.6928,0.7556,0.7542,,0.7452,0.4071,0.7055,6.1,3.7,2.1,2.0
SD,0.1392,0.113,0.1069,0.1581,0.0905,,0.0949,0.2137,0.1022,1.1972,1.3375,1.1005,1.3333
