,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6156,0.0158,0.4969,0.0,0.0,,,-0.0062,0.9877,0,804,5,5
0_1,0.8813,0.268,0.6963,0.4,0.25,,0.3077,0.3109,0.9889,2,803,6,3
0_2,0.614,0.0109,0.4938,0.0,0.0,,,-0.0078,0.9828,0,799,10,4
0_3,0.4765,0.2168,0.5963,0.2,0.1429,,0.1667,0.163,0.9877,1,802,6,4
0_4,0.4054,0.0215,0.5957,0.2,0.125,,0.1538,0.1515,0.9865,1,801,7,4
0_5,0.5869,0.2696,0.6938,0.4,0.1667,,0.2353,0.2513,0.984,2,798,10,3
0_6,0.9738,0.4952,0.7957,0.6,0.3,,0.4,0.4194,0.9889,3,801,7,2
0_7,0.6728,0.1771,0.6975,0.4,0.3333,,0.3636,0.3609,0.9914,2,804,4,3
0_8,0.9235,0.1162,0.6913,0.4,0.125,,0.1905,0.2154,0.9791,2,794,14,3
0_9,0.7587,0.0759,0.6932,0.4,0.1538,,0.2222,0.2408,0.9828,2,797,11,3
0_Mean,0.6908,0.1667,0.6451,0.3,0.1597,,0.255,0.2099,0.986,1.5,800.3,8.0,3.4
0_SD,0.1901,0.1529,0.0969,0.1944,0.1114,,0.092,0.1412,0.0037,0.97182531580755,3.2676869155073254,3.1269438398822866,0.8432740427115678
Mean,0.6908,0.1667,0.645,0.3,0.1597,,0.255,0.2099,0.986,1.5,800.3,8.0,3.4
SD,0.1901,0.1529,0.0969,0.1944,0.1114,,0.092,0.1411,0.0037,0.9718,3.2677,3.1269,0.8433
