,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8116,0.1318,0.6368,0.3125,0.1389,,0.1923,0.1847,0.9483,5,766,31,11
0_1,0.6858,0.1544,0.6188,0.2941,0.1,,0.1493,0.1415,0.9299,5,751,45,12
0_2,0.749,0.3678,0.7984,0.6471,0.2157,,0.3235,0.3522,0.9434,11,756,40,6
0_3,0.7937,0.459,0.7759,0.5882,0.2564,,0.3571,0.3695,0.9557,10,767,29,7
0_4,0.7495,0.4705,0.7164,0.4706,0.2105,,0.2909,0.2934,0.952,8,766,30,9
0_5,0.8167,0.4233,0.7427,0.5294,0.2045,,0.2951,0.307,0.9471,9,761,35,8
0_6,0.8517,0.392,0.7484,0.5294,0.2571,,0.3462,0.3502,0.9582,9,770,26,8
0_7,0.7872,0.4499,0.7477,0.5294,0.25,,0.3396,0.3446,0.9569,9,769,27,8
0_8,0.749,0.4006,0.7177,0.4706,0.2222,,0.3019,0.3028,0.9545,8,768,28,9
0_9,0.6388,0.2605,0.6864,0.4118,0.1842,,0.2545,0.2527,0.9496,7,765,31,10
0_Mean,0.7633,0.351,0.7189,0.4783,0.204,,0.285,0.2899,0.9496,8.1,763.9,32.2,8.8
0_SD,0.0638,0.1248,0.0574,0.1127,0.0513,,0.0681,0.0758,0.0084,1.9692073983655907,6.118278625016462,6.0882400303098,1.8135294011647258
Mean,0.7633,0.351,0.7189,0.4783,0.204,,0.285,0.2899,0.9496,8.1,763.9,32.2,8.8
SD,0.0638,0.1248,0.0574,0.1127,0.0512,,0.0681,0.0759,0.0084,1.9692,6.1183,6.0882,1.8135
