,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7935,0.8362,0.6923,0.36,0.4737,0.4885,0.9754
0_1,0.8793,0.8387,0.6923,0.4286,0.5294,0.5356,0.9803
0_2,0.6664,0.7406,0.5,0.2857,0.3636,0.3659,0.9742
0_3,0.7974,0.8215,0.6667,0.2963,0.4103,0.4327,0.9717
0_4,0.8026,0.763,0.5385,0.4118,0.4667,0.4611,0.9803
0_5,0.9407,0.874,0.7692,0.3704,0.5,0.5236,0.9754
0_6,0.8142,0.8343,0.6923,0.3214,0.439,0.4599,0.9717
0_7,0.781,0.763,0.5385,0.4118,0.4667,0.4611,0.9803
0_8,0.8918,0.8387,0.6923,0.4286,0.5294,0.5356,0.9803
0_9,0.8625,0.8412,0.6923,0.5294,0.6,0.5982,0.9852
0_Mean,0.8229,0.8151,0.6474,0.3844,0.4779,0.4862,0.9775
0_SD,0.0757,0.0436,0.0887,0.0736,0.0668,0.0651,0.0045
Mean,0.8229,0.8151,0.6474,0.3844,0.4779,0.4862,0.9775
SD,0.0757,0.0436,0.0887,0.0736,0.0668,0.0651,0.0044
