,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7315,0.6712,0.4694,0.1917,0.2722,0.2297,0.8487
0_1,0.7051,0.6284,0.3878,0.1597,0.2262,0.1729,0.8401
0_2,0.6827,0.6239,0.3878,0.1508,0.2171,0.1629,0.8315
0_3,0.6575,0.6258,0.3878,0.1545,0.2209,0.1671,0.8352
0_4,0.7258,0.6383,0.4167,0.1575,0.2286,0.1796,0.8337
0_5,0.719,0.6885,0.5,0.2034,0.2892,0.2523,0.8547
0_6,0.7318,0.6669,0.4792,0.1716,0.2527,0.2121,0.8325
0_7,0.6709,0.6142,0.375,0.1385,0.2022,0.1469,0.8251
0_8,0.7259,0.6533,0.4583,0.1594,0.2366,0.1925,0.8251
0_9,0.763,0.6794,0.4898,0.1935,0.2775,0.2375,0.8461
0_Mean,0.7113,0.649,0.4352,0.1681,0.2423,0.1954,0.8373
0_SD,0.0323,0.0263,0.0489,0.0213,0.0291,0.0356,0.0099
Mean,0.7113,0.649,0.4352,0.1681,0.2423,0.1953,0.8373
SD,0.0323,0.0263,0.0489,0.0213,0.0291,0.0357,0.0099
