,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6932,0.058,0.5803,0.1818,0.1053,,0.1333,0.1228,0.9681,2,786,17,9
0_1,0.7852,0.082,0.6382,0.3,0.1364,,0.1875,0.1877,0.968,3,784,19,7
0_2,0.9152,0.3299,0.8363,0.7,0.2414,,0.359,0.3997,0.9692,7,781,22,3
0_3,0.799,0.1316,0.6407,0.3,0.1667,,0.2143,0.2107,0.9729,3,788,15,7
0_4,0.8116,0.2719,0.69,0.4,0.2,,0.2667,0.2704,0.9729,4,787,16,6
0_5,0.7223,0.0989,0.5919,0.2,0.1333,,0.16,0.1506,0.9742,2,790,13,8
0_6,0.5625,0.104,0.6675,0.3636,0.1481,,0.2105,0.216,0.9631,4,779,23,7
0_7,0.811,0.1857,0.6245,0.2727,0.1364,,0.1818,0.1773,0.9668,3,783,19,8
0_8,0.6622,0.1159,0.6725,0.3636,0.2105,,0.2667,0.2638,0.9729,4,787,15,7
0_9,0.8744,0.1606,0.6712,0.3636,0.1905,,0.25,0.2494,0.9705,4,785,17,7
0_Mean,0.7637,0.1539,0.6613,0.3445,0.1669,,0.223,0.2248,0.9699,3.6,785.0,17.6,6.9
0_SD,0.1048,0.0868,0.071,0.1442,0.0425,,0.0652,0.0779,0.0035,1.4298407059684812,3.3333333333333335,3.1692971530679235,1.5951314818673865
Mean,0.7637,0.1538,0.6613,0.3445,0.1669,,0.223,0.2248,0.9699,3.6,785.0,17.6,6.9
SD,0.1048,0.0868,0.071,0.1442,0.0425,,0.0652,0.0779,0.0035,1.4298,3.3333,3.1693,1.5951
