,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5957,0.5958,0.84,0.0395,0.0754,0.0695,0.3665
0_1,0.578,0.5786,0.76,0.0385,0.0732,0.0556,0.4084
0_2,0.5685,0.5691,0.76,0.0373,0.0712,0.0493,0.3899
0_3,0.5452,0.5469,0.68,0.0355,0.0675,0.0329,0.4219
0_4,0.5977,0.5989,0.84,0.0398,0.0761,0.0715,0.3727
0_5,0.5586,0.5589,0.76,0.0362,0.0691,0.0425,0.3702
0_6,0.6129,0.6154,0.84,0.0419,0.0798,0.082,0.4047
0_7,0.5722,0.5732,0.8,0.0374,0.0714,0.0533,0.3604
0_8,0.617,0.6177,0.8846,0.0431,0.0821,0.0872,0.3678
0_9,0.4891,0.4903,0.64,0.0299,0.0571,-0.0071,0.3498
0_Mean,0.5735,0.5745,0.7805,0.0379,0.0723,0.0537,0.3812
0_SD,0.0376,0.0376,0.0767,0.0037,0.007,0.0274,0.0236
Mean,0.5735,0.5745,0.7805,0.0379,0.0723,0.0537,0.3812
SD,0.0376,0.0376,0.0767,0.0037,0.007,0.0274,0.0236
