,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.3834,0.002,0.3834,0.0,0.0,,,-0.0352,0.7636,0,562,171,3
0_1,0.5725,0.1716,0.5725,0.3333,0.0072,,0.0141,0.0236,0.8098,1,595,138,2
0_2,0.7249,0.3402,0.7249,0.6667,0.0124,,0.0244,0.0693,0.7826,2,574,159,1
0_3,0.5528,0.171,0.5528,0.3333,0.006,,0.0117,0.016,0.7704,1,566,167,2
0_4,0.5321,0.1307,0.5321,0.25,0.0073,,0.0142,0.0121,0.8111,1,596,136,3
0_5,0.6441,0.2577,0.6441,0.5,0.0127,,0.0248,0.0517,0.7867,2,577,155,2
0_6,0.7787,0.3861,0.7787,0.75,0.0208,,0.0405,0.1033,0.8071,3,591,141,1
0_7,0.709,0.3394,0.709,0.6667,0.0109,,0.0214,0.0615,0.751,2,550,182,1
0_8,0.5697,0.1715,0.5697,0.3333,0.007,,0.0137,0.0224,0.8041,1,590,142,2
0_9,0.5745,0.1717,0.5745,0.3333,0.0074,,0.0144,0.0244,0.8136,1,597,135,2
0_Mean,0.6042,0.2142,0.6042,0.4167,0.0092,,0.0199,0.0349,0.79,1.4,579.8,152.6,1.9
0_SD,0.1142,0.1166,0.1142,0.2291,0.0055,,0.0092,0.0381,0.0225,0.8432740427115678,16.518003645853952,16.674664747587713,0.7378647873726218
Mean,0.6042,0.2142,0.6042,0.4167,0.0092,,0.0199,0.0349,0.79,1.4,579.8,152.6,1.9
SD,0.1141,0.1166,0.1141,0.2291,0.0055,,0.0092,0.0381,0.0225,0.8433,16.518,16.6747,0.7379
