,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6428,0.3973,0.6456,0.6735,0.1015,,0.1765,0.1415,0.6212,33,472,292,16
0_1,0.6017,0.3607,0.603,0.6327,0.0868,,0.1527,0.0988,0.5769,31,438,326,18
0_2,0.575,0.3771,0.5877,0.6531,0.0806,,0.1435,0.0835,0.5301,32,399,365,17
0_3,0.6467,0.3786,0.6396,0.6327,0.103,,0.1771,0.1376,0.6458,31,494,270,18
0_4,0.5642,0.3987,0.5603,0.7083,0.0704,,0.1281,0.058,0.4298,34,315,449,14
0_5,0.6777,0.4442,0.6772,0.7917,0.1022,,0.181,0.1678,0.5764,38,430,334,10
0_6,0.6089,0.3967,0.6369,0.7083,0.0929,,0.1643,0.1298,0.5739,34,432,332,14
0_7,0.6423,0.3816,0.6428,0.6875,0.0971,,0.1701,0.1366,0.6034,33,457,307,15
0_8,0.591,0.3556,0.6213,0.6458,0.0914,,0.1602,0.1161,0.5998,31,456,308,17
0_9,0.6811,0.4463,0.6564,0.7755,0.0972,,0.1727,0.1491,0.5517,38,410,353,11
0_Mean,0.6231,0.3937,0.6271,0.6909,0.0923,,0.1626,0.1219,0.5709,33.5,430.3,333.6,15.0
0_SD,0.041,0.0308,0.0347,0.0563,0.0105,,0.0169,0.0332,0.0597,2.6352313834736494,49.349209157234164,49.30449607625387,2.788866755113585
Mean,0.6231,0.3937,0.6271,0.6909,0.0923,,0.1626,0.1219,0.5709,33.5,430.3,333.6,15.0
SD,0.041,0.0308,0.0347,0.0562,0.0105,,0.0169,0.0331,0.0597,2.6352,49.3492,49.3045,2.7889
