,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.436,0.2936,0.4281,0.5625,0.0157,,0.0306,-0.0438,0.2989,9,234,563,7
0_1,0.393,0.2481,0.393,0.4706,0.0145,,0.0281,-0.0657,0.3186,8,251,545,9
0_2,0.5506,0.4255,0.5506,0.8235,0.0238,,0.0462,0.0324,0.2891,14,221,575,3
0_3,0.4886,0.3662,0.4886,0.7059,0.0203,,0.0394,-0.0073,0.2804,12,216,580,5
0_4,0.5271,0.3673,0.5175,0.7059,0.022,,0.0426,0.0107,0.337,12,262,534,5
0_5,0.5981,0.4843,0.5981,0.9412,0.0263,,0.0511,0.0648,0.2694,16,203,593,1
0_6,0.3982,0.262,0.3982,0.5,0.0141,,0.0274,-0.0617,0.3005,8,236,560,8
0_7,0.5101,0.3876,0.5101,0.75,0.0202,,0.0394,0.0063,0.2796,12,215,581,4
0_8,0.5245,0.388,0.5245,0.75,0.0211,,0.041,0.0149,0.3079,12,238,558,4
0_9,0.3896,0.2309,0.3896,0.4375,0.0132,,0.0256,-0.0645,0.3436,7,272,524,9
0_Mean,0.4816,0.3453,0.4798,0.6647,0.0191,,0.0371,-0.0114,0.3025,11.0,234.8,561.3,5.5
0_SD,0.0734,0.0833,0.0734,0.1655,0.0045,,0.0087,0.0454,0.0247,2.9059326290271157,21.973721679416176,21.980041451785805,2.6770630673681683
Mean,0.4816,0.3454,0.4798,0.6647,0.0191,,0.0371,-0.0114,0.3025,11.0,234.8,561.3,5.5
SD,0.0734,0.0833,0.0734,0.1655,0.0045,,0.0087,0.0454,0.0247,2.9059,21.9737,21.98,2.6771
