,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8443,0.3384,0.6689,0.375,0.2927,,0.3288,0.3002,0.9397,12,752,29,20
0_1,0.8582,0.3709,0.7432,0.5312,0.3269,,0.4048,0.3866,0.9385,17,746,35,15
0_2,0.7744,0.1977,0.653,0.3636,0.2105,,0.2667,0.2365,0.9188,12,735,45,21
0_3,0.8611,0.355,0.6494,0.3333,0.2895,,0.3099,0.2793,0.9397,11,753,27,22
0_4,0.8752,0.2216,0.6745,0.3939,0.2708,,0.321,0.2923,0.9323,13,745,35,20
0_5,0.8447,0.279,0.6165,0.2727,0.225,,0.2466,0.2126,0.9323,9,749,31,24
0_6,0.7963,0.1328,0.5857,0.2188,0.1591,,0.1842,0.1472,0.9236,7,743,37,25
0_7,0.8376,0.2241,0.637,0.3125,0.25,,0.2778,0.2464,0.936,10,750,30,22
0_8,0.8183,0.3289,0.6676,0.375,0.2791,,0.32,0.2913,0.9372,12,749,31,20
0_9,0.8463,0.263,0.6982,0.4375,0.3043,,0.359,0.3337,0.9384,14,748,32,18
0_Mean,0.8356,0.2711,0.6594,0.3614,0.2608,,0.3019,0.2726,0.9337,11.7,747.0,33.2,20.7
0_SD,0.0309,0.0776,0.0433,0.0866,0.0503,,0.0615,0.0663,0.0072,2.7507574714370344,5.206833117271103,5.138093031466052,2.869378562220979
Mean,0.8356,0.2711,0.6594,0.3614,0.2608,,0.3019,0.2726,0.9336,11.7,747.0,33.2,20.7
SD,0.0309,0.0776,0.0432,0.0866,0.0503,,0.0615,0.0663,0.0072,2.7508,5.2068,5.1381,2.8694
