,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7064,0.4993,0.0,0.0,,-0.0019,0.9959
0_1,0.9748,0.4993,0.0,0.0,,-0.0019,0.9959
0_2,0.9707,0.4986,0.0,0.0,,-0.0027,0.9946
0_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0_4,0.4401,0.4986,0.0,0.0,,-0.0027,0.9946
0_5,0.9394,0.4973,0.0,0.0,,-0.0039,0.9918
0_6,0.938,0.4986,0.0,0.0,,-0.0027,0.9946
0_7,1.0,0.9986,1.0,0.3333,0.5,0.5766,0.9973
0_8,0.9986,0.4993,0.0,0.0,,-0.0014,0.9973
0_9,0.9809,0.4966,0.0,0.0,,-0.0031,0.9918
0_Mean,0.8949,0.5986,0.2,0.1333,0.75,0.1556,0.9954
0_SD,0.1822,0.2112,0.4216,0.322,0.3536,0.3481,0.0025
Mean,0.8949,0.5986,0.2,0.1333,0.75,0.1556,0.9954
SD,0.1821,0.2112,0.4216,0.322,0.3536,0.3481,0.0025
