,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6611,0.0269,0.4931,0.0,0.0,,,-0.0157,0.9688,0,713,10,13
0_1,0.6677,0.0949,0.6085,0.2308,0.2308,,0.2308,0.2169,0.9728,3,713,10,10
0_2,0.6853,0.0335,0.4959,0.0,0.0,,,-0.0122,0.9742,0,717,6,13
0_3,0.7078,0.1022,0.5721,0.1538,0.2222,,0.1818,0.1728,0.9755,2,716,7,11
0_4,0.6766,0.0762,0.5764,0.1667,0.1667,,0.1667,0.1528,0.9728,2,713,10,10
0_5,0.5746,0.0716,0.5778,0.1667,0.2,,0.1818,0.1702,0.9755,2,715,8,10
0_6,0.8401,0.1416,0.5714,0.1538,0.2,,0.1739,0.1624,0.9741,2,714,8,11
0_7,0.8081,0.2742,0.6455,0.3077,0.25,,0.2759,0.2629,0.9714,4,710,12,9
0_8,0.8824,0.1965,0.5693,0.1538,0.1538,,0.1538,0.1386,0.9701,2,711,11,11
0_9,0.7377,0.1763,0.6092,0.2308,0.25,,0.24,0.2271,0.9741,3,713,9,10
0_Mean,0.7242,0.1194,0.5719,0.1564,0.1674,,0.2006,0.1476,0.9729,2.0,713.5,9.1,10.8
0_SD,0.0939,0.0779,0.0474,0.0961,0.0937,,0.0429,0.0932,0.0023,1.247219128924647,2.1213203435596424,1.8529256146249728,1.3165611772087666
Mean,0.7241,0.1194,0.5719,0.1564,0.1674,,0.2006,0.1476,0.9729,2.0,713.5,9.1,10.8
SD,0.0939,0.0779,0.0474,0.0961,0.0937,,0.0429,0.0932,0.0022,1.2472,2.1213,1.8529,1.3166
