,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7866,0.4137,0.6792,0.3684,0.4667,,0.4118,0.4023,0.9754,7,787,8,12
0_1,0.7784,0.473,0.7318,0.4737,0.5294,,0.5,0.4895,0.9779,9,787,8,10
0_2,0.7226,0.4652,0.7324,0.4737,0.5625,,0.5143,0.5056,0.9791,9,788,7,10
0_3,0.868,0.34,0.7159,0.4444,0.4444,,0.4444,0.4319,0.9754,8,785,10,10
0_4,0.8657,0.3939,0.7425,0.5,0.4286,,0.4615,0.4498,0.9742,9,783,12,9
0_5,0.8736,0.3909,0.769,0.5556,0.4167,,0.4762,0.4676,0.9729,10,781,14,8
0_6,0.7829,0.1625,0.6301,0.2778,0.2632,,0.2703,0.2534,0.9668,5,781,14,13
0_7,0.8148,0.2757,0.6023,0.2222,0.2222,,0.2222,0.2046,0.9656,4,781,14,14
0_8,0.7832,0.4937,0.7178,0.4444,0.5333,,0.4848,0.4763,0.9791,8,788,7,10
0_9,0.8468,0.5315,0.7569,0.5263,0.5,,0.5128,0.501,0.9766,10,784,10,9
0_Mean,0.8123,0.394,0.7078,0.4287,0.4367,,0.4298,0.4182,0.9743,7.9,784.5,10.4,10.5
0_SD,0.05,0.1111,0.0545,0.1076,0.1132,,0.1023,0.1052,0.0047,2.0248456731316584,2.9154759474226504,2.913569784454954,1.90029237516523
Mean,0.8123,0.394,0.7078,0.4286,0.4367,,0.4298,0.4182,0.9743,7.9,784.5,10.4,10.5
SD,0.05,0.1111,0.0545,0.1077,0.1132,,0.1023,0.1052,0.0047,2.0248,2.9155,2.9136,1.9003
