,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7792,0.1026,0.6216,0.25,0.2857,,0.2667,0.2597,0.9851,2,723,5,6
0_1,0.8441,0.0931,0.6223,0.25,0.3333,,0.2857,0.2819,0.9864,2,724,4,6
0_2,0.8048,0.2107,0.6223,0.25,0.3333,,0.2857,0.2819,0.9864,2,724,4,6
0_3,0.6703,0.1419,0.5611,0.125,0.3333,,0.1818,0.199,0.9878,1,726,2,7
0_4,0.8224,0.2403,0.6223,0.25,0.3333,,0.2857,0.2819,0.9864,2,724,4,6
0_5,0.6635,0.1198,0.6209,0.25,0.25,,0.25,0.2418,0.9837,2,722,6,6
0_6,0.9536,0.2424,0.6625,0.3333,0.3333,,0.3333,0.3251,0.9837,3,721,6,6
0_7,0.6994,0.0336,0.4952,0.0,0.0,,,-0.0103,0.9796,0,720,7,8
0_8,0.6557,0.1196,0.6202,0.25,0.2222,,0.2353,0.2268,0.9823,2,720,7,6
0_9,0.8308,0.2607,0.6188,0.25,0.1818,,0.2105,0.2031,0.9796,2,718,9,6
0_Mean,0.7724,0.1565,0.6067,0.2208,0.2606,,0.2594,0.2291,0.9841,1.8,722.2,5.4,6.3
0_SD,0.0979,0.0769,0.0461,0.0922,0.1069,,0.0457,0.0928,0.0029,0.7888106377466155,2.440400695696417,2.0110804171997807,0.6749485577105528
Mean,0.7724,0.1565,0.6067,0.2208,0.2606,,0.2594,0.2291,0.9841,1.8,722.2,5.4,6.3
SD,0.0979,0.0768,0.0461,0.0922,0.1069,,0.0457,0.0928,0.0029,0.7888,2.4404,2.0111,0.6749
