,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7782,0.0801,0.5154,0.0476,0.0769,,0.0588,0.039,0.9565,1,703,12,20
0_1,0.9021,0.2051,0.5825,0.1818,0.25,,0.2105,0.1927,0.9592,4,702,12,18
0_2,0.8177,0.2353,0.6535,0.3182,0.4667,,0.3784,0.37,0.9688,7,706,8,15
0_3,0.9161,0.209,0.5619,0.1364,0.25,,0.1765,0.1664,0.962,3,705,9,19
0_4,0.8781,0.3607,0.6562,0.3333,0.3182,,0.3256,0.3054,0.9605,7,699,15,14
0_5,0.791,0.1474,0.5644,0.1429,0.2308,,0.1765,0.1629,0.9619,3,704,10,18
0_6,0.7908,0.1736,0.6359,0.2857,0.375,,0.3243,0.3102,0.966,6,704,10,15
0_7,0.7973,0.1778,0.6569,0.3333,0.3333,,0.3333,0.3137,0.9619,7,700,14,14
0_8,0.8199,0.1305,0.5644,0.1429,0.2308,,0.1765,0.1629,0.9619,3,704,10,18
0_9,0.8262,0.2314,0.6793,0.381,0.3333,,0.3556,0.3361,0.9605,8,698,16,13
0_Mean,0.8317,0.1951,0.607,0.2303,0.2865,,0.2516,0.2359,0.9619,4.9,702.5,11.6,16.4
0_SD,0.0494,0.0753,0.0555,0.1128,0.1046,,0.1055,0.1057,0.0034,2.378141197564929,2.6770630673681683,2.6749870196985173,2.4585451886114362
Mean,0.8317,0.1951,0.607,0.2303,0.2865,,0.2516,0.2359,0.9619,4.9,702.5,11.6,16.4
SD,0.0494,0.0753,0.0556,0.1128,0.1046,,0.1055,0.1057,0.0034,2.3781,2.6771,2.675,2.4585
