,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5417,0.6895,0.3958,0.625,0.5,,0.5556,-0.2282,0.4286,5,1,5,3
0_1,0.9583,0.9685,0.8333,1.0,0.8,,0.8889,0.7303,0.8571,8,4,2,0
0_2,0.6458,0.7843,0.5625,0.625,0.625,,0.625,0.125,0.5714,5,3,3,3
0_3,0.8125,0.8625,0.5833,0.5,0.6667,,0.5714,0.1667,0.5714,4,4,2,4
0_4,0.8333,0.9083,0.7708,0.875,0.7778,,0.8235,0.5594,0.7857,7,4,2,1
0_5,0.4375,0.5893,0.5,0.5,0.5714,,0.5333,0.0,0.5,4,3,3,4
0_6,0.7083,0.7356,0.5833,1.0,0.6154,,0.7619,0.3203,0.6429,8,1,5,0
0_7,0.8125,0.7042,0.8333,1.0,0.8,,0.8889,0.7303,0.8571,8,4,2,0
0_8,0.6444,0.8151,0.6333,0.6667,0.75,,0.7059,0.2582,0.6429,6,3,2,3
0_9,0.675,0.7604,0.6375,0.875,0.7,,0.7778,0.3175,0.6923,7,2,3,1
0_Mean,0.7069,0.7818,0.6333,0.7667,0.6806,,0.7132,0.2979,0.6549,6.2,2.9,2.9,1.9
0_SD,0.1528,0.1119,0.1426,0.2053,0.1029,,0.1356,0.3087,0.1452,1.6193277068654826,1.1972189997378648,1.1972189997378646,1.66332999331662
Mean,0.7069,0.7818,0.6333,0.7667,0.6806,,0.7132,0.298,0.6549,6.2,2.9,2.9,1.9
SD,0.1528,0.1119,0.1426,0.2053,0.1029,,0.1356,0.3087,0.1452,1.6193,1.1972,1.1972,1.6633
