,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7195,0.5011,0.7065,0.4194,0.7222,,0.5306,0.5374,0.9716,13,774,5,18
0_1,0.7927,0.5278,0.7523,0.5161,0.64,,0.5714,0.5597,0.9704,16,770,9,15
0_2,0.8138,0.5325,0.7536,0.5161,0.6957,,0.5926,0.5858,0.9728,16,772,7,15
0_3,0.7444,0.5827,0.7622,0.5333,0.6957,,0.6038,0.5962,0.974,16,772,7,14
0_4,0.831,0.5855,0.7703,0.5484,0.7391,,0.6296,0.6245,0.9753,17,772,6,14
0_5,0.7054,0.4108,0.689,0.3871,0.6316,,0.48,0.4793,0.9679,12,771,7,19
0_6,0.7093,0.4392,0.7045,0.4194,0.619,,0.5,0.4939,0.9679,13,770,8,18
0_7,0.69,0.4453,0.7026,0.4194,0.5417,,0.4727,0.4585,0.9642,13,767,11,18
0_8,0.7111,0.518,0.7523,0.5161,0.64,,0.5714,0.5597,0.9703,16,769,9,15
0_9,0.8203,0.5665,0.7516,0.5161,0.6154,,0.5614,0.5478,0.9691,16,768,10,15
0_Mean,0.7538,0.511,0.7345,0.4791,0.654,,0.5514,0.5443,0.9703,14.8,770.5,7.9,16.1
0_SD,0.0547,0.0616,0.03,0.06,0.0593,,0.0536,0.0532,0.0033,1.8135294011647258,2.1213203435596424,1.8529256146249728,1.911950719959998
Mean,0.7537,0.5109,0.7345,0.4791,0.654,,0.5514,0.5443,0.9704,14.8,770.5,7.9,16.1
SD,0.0547,0.0616,0.03,0.06,0.0592,,0.0536,0.0532,0.0033,1.8135,2.1213,1.8529,1.912
