,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8078,0.2066,0.6758,0.3939,0.2826,,0.3291,0.3003,0.9348,13,747,33,20
0_1,0.8338,0.2765,0.7648,0.5758,0.3455,,0.4318,0.4161,0.9385,19,744,36,14
0_2,0.7517,0.1352,0.6548,0.375,0.1905,,0.2526,0.2252,0.9126,12,729,51,20
0_3,0.8051,0.2089,0.6899,0.4375,0.2373,,0.3077,0.2847,0.9224,14,735,45,18
0_4,0.8771,0.2224,0.6013,0.25,0.1778,,0.2078,0.1723,0.9249,8,743,37,24
0_5,0.8021,0.2127,0.6925,0.4375,0.2545,,0.3218,0.298,0.9273,14,739,41,18
0_6,0.8423,0.1675,0.6599,0.375,0.2182,,0.2759,0.2477,0.9224,12,737,43,20
0_7,0.8267,0.1487,0.6599,0.375,0.2182,,0.2759,0.2477,0.9224,12,737,43,20
0_8,0.8478,0.3111,0.7232,0.4848,0.3478,,0.4051,0.3812,0.9421,16,749,30,17
0_9,0.852,0.2373,0.7016,0.4545,0.2727,,0.3409,0.3168,0.9286,15,739,40,18
0_Mean,0.8246,0.2127,0.6824,0.4159,0.2545,,0.3149,0.289,0.9276,13.5,739.9,39.9,18.9
0_SD,0.0348,0.0544,0.0439,0.0855,0.0587,,0.0676,0.0721,0.0088,2.9154759474226504,5.971227307309239,6.136412270663987,2.6012817353502227
Mean,0.8246,0.2127,0.6824,0.4159,0.2545,,0.3149,0.289,0.9276,13.5,739.9,39.9,18.9
SD,0.0349,0.0544,0.0439,0.0855,0.0587,,0.0676,0.0721,0.0088,2.9155,5.9712,6.1364,2.6013
