,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6732,0.526,0.0769,0.0526,0.0625,0.0431,0.9591
0_1,0.5986,0.5197,0.0769,0.0357,0.0488,0.0271,0.9468
0_2,0.7396,0.5714,0.1538,0.2,0.1739,0.1624,0.9741
0_3,0.7643,0.4951,0.0,0.0,,-0.0132,0.9727
0_4,0.6606,0.563,0.1538,0.0909,0.1143,0.0975,0.9577
0_5,0.65,0.5596,0.1538,0.0741,0.1,0.0835,0.9509
0_6,0.6302,0.5246,0.0769,0.0476,0.0588,0.0389,0.9563
0_7,0.7204,0.5679,0.1538,0.1333,0.1429,0.1266,0.9673
0_8,0.7717,0.6174,0.25,0.2143,0.2308,0.2176,0.9727
0_9,0.7534,0.6194,0.25,0.2727,0.2609,0.2493,0.9768
0_Mean,0.6962,0.5564,0.1346,0.1121,0.1325,0.1033,0.9634
0_SD,0.0614,0.041,0.079,0.0897,0.0764,0.0856,0.0106
Mean,0.6962,0.5564,0.1346,0.1121,0.1325,0.1033,0.9634
SD,0.0614,0.041,0.079,0.0897,0.0764,0.0856,0.0106
