,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8993,0.2942,0.6243,0.25,0.5,,0.3333,0.3511,0.9946,1,729,1,3
0_1,0.8023,0.0894,0.6653,0.3333,0.3333,,0.3333,0.3306,0.9945,1,728,2,2
0_2,0.5379,0.0042,0.4979,0.0,0.0,,,-0.0041,0.9918,0,727,3,3
0_3,0.5658,0.3365,0.6639,0.3333,0.2,,0.25,0.2543,0.9918,1,726,4,2
0_4,0.9854,0.1189,0.4986,0.0,0.0,,,-0.0034,0.9932,0,728,2,3
0_5,0.8758,0.0161,0.4952,0.0,0.0,,,-0.0063,0.9864,0,723,7,3
0_6,0.8361,0.4111,0.6646,0.3333,0.25,,0.2857,0.2853,0.9932,1,727,3,2
0_7,0.8539,0.1052,0.4986,0.0,0.0,,,-0.0034,0.9932,0,728,2,3
0_8,0.8758,0.0252,0.4986,0.0,0.0,,,-0.0034,0.9932,0,728,2,3
0_9,0.9801,0.3779,0.8306,0.6667,0.3333,,0.4444,0.4685,0.9932,2,726,4,1
0_Mean,0.8212,0.1779,0.5938,0.1917,0.1617,,0.3294,0.1669,0.9925,0.6,727.0,3.0,2.5
0_SD,0.1533,0.1596,0.1146,0.2292,0.1866,,0.0733,0.1884,0.0023,0.699205898780101,1.699673171197595,1.699673171197595,0.7071067811865476
Mean,0.8212,0.1779,0.5938,0.1917,0.1617,,0.3293,0.1669,0.9925,0.6,727.0,3.0,2.5
SD,0.1533,0.1596,0.1146,0.2292,0.1866,,0.0733,0.1884,0.0023,0.6992,1.6997,1.6997,0.7071
