,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7595,0.2472,0.6481,0.3,0.5,,0.375,0.3815,0.9877,3,799,3,7
0_1,0.7566,0.0749,0.5456,0.1,0.125,,0.1111,0.1019,0.9803,1,795,7,9
0_2,0.8211,0.3263,0.6963,0.4,0.4,,0.4,0.3925,0.9852,4,796,6,6
0_3,0.9034,0.0928,0.5475,0.1,0.2,,0.1333,0.134,0.984,1,798,4,9
0_4,0.847,0.2359,0.6339,0.2727,0.4286,,0.3333,0.3348,0.9852,3,797,4,8
0_5,0.7973,0.1498,0.5878,0.1818,0.2857,,0.2222,0.2195,0.9828,2,796,5,9
0_6,0.7611,0.2824,0.6326,0.2727,0.3333,,0.3,0.2929,0.9828,3,795,6,8
0_7,0.6462,0.0861,0.5847,0.1818,0.1667,,0.1739,0.1622,0.9766,2,791,10,9
0_8,0.7745,0.2473,0.6326,0.2727,0.3333,,0.3,0.2929,0.9828,3,795,6,8
0_9,0.7125,0.1067,0.5988,0.2,0.5,,0.2857,0.3111,0.9877,2,799,2,8
0_Mean,0.7779,0.1849,0.6108,0.2282,0.3273,,0.2635,0.2623,0.9835,2.4,796.1,5.3,8.1
0_SD,0.0711,0.0928,0.0469,0.0934,0.1333,,0.0994,0.1026,0.0033,0.9660917830792959,2.378141197564929,2.2632326929023945,0.9944289260117531
Mean,0.7779,0.1849,0.6108,0.2282,0.3273,,0.2634,0.2623,0.9835,2.4,796.1,5.3,8.1
SD,0.0711,0.0928,0.0469,0.0934,0.1333,,0.0994,0.1026,0.0033,0.9661,2.3781,2.2632,0.9944
