,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6416,0.5246,0.102,0.1111,0.1064,0.0512,0.8958
0_1,0.6547,0.6306,0.3061,0.3061,0.3061,0.2612,0.9156
0_2,0.7135,0.5898,0.2245,0.2444,0.234,0.1869,0.9107
0_3,0.6736,0.5585,0.1633,0.186,0.1739,0.1244,0.9057
0_4,0.735,0.6326,0.3061,0.3261,0.3158,0.2731,0.9194
0_5,0.666,0.572,0.1875,0.2143,0.2,0.1532,0.9106
0_6,0.6279,0.5895,0.2292,0.2245,0.2268,0.1773,0.9068
0_7,0.6698,0.5857,0.2083,0.2632,0.2326,0.1913,0.918
0_8,0.6635,0.5824,0.2083,0.2326,0.2198,0.1735,0.9118
0_9,0.6735,0.5473,0.125,0.2069,0.1558,0.1202,0.9193
0_Mean,0.6719,0.5813,0.206,0.2315,0.2171,0.1712,0.9114
0_SD,0.0316,0.0337,0.0671,0.0607,0.0636,0.0656,0.0073
Mean,0.6719,0.5813,0.206,0.2315,0.2171,0.1712,0.9114
SD,0.0316,0.0337,0.0671,0.0607,0.0636,0.0656,0.0073
