,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6521,0.0215,0.6175,0.25,0.0833,,0.125,0.1364,0.9809,1,719,11,3
0_1,0.5312,0.0056,0.4938,0.0,0.0,,,-0.0082,0.9823,0,721,9,4
0_2,0.79,0.1352,0.8272,0.6667,0.1818,,0.2857,0.3436,0.9864,2,721,9,1
0_3,0.4904,0.0074,0.4904,0.0,0.0,,,-0.0089,0.9768,0,716,14,3
0_4,0.8646,0.0635,0.4979,0.0,0.0,,,-0.0041,0.9918,0,727,3,3
0_5,0.8068,0.0219,0.6598,0.3333,0.0909,,0.1429,0.1678,0.9836,1,720,10,2
0_6,0.6174,0.0871,0.6598,0.3333,0.0909,,0.1429,0.1678,0.9836,1,720,10,2
0_7,0.8621,0.0642,0.6605,0.3333,0.1,,0.1538,0.1767,0.985,1,721,9,2
0_8,0.9918,0.3491,0.8292,0.6667,0.25,,0.3636,0.4046,0.9905,2,724,6,1
0_9,0.7356,0.0078,0.4884,0.0,0.0,,,-0.0099,0.9727,0,713,17,3
0_Mean,0.7342,0.0763,0.6225,0.2583,0.0797,,0.2023,0.1366,0.9834,0.8,720.2,9.8,2.4
0_SD,0.1596,0.1047,0.1318,0.2619,0.0853,,0.0984,0.1497,0.0057,0.7888106377466155,3.852848873813304,3.8528488738133038,0.9660917830792958
Mean,0.7342,0.0763,0.6225,0.2583,0.0797,,0.2023,0.1366,0.9834,0.8,720.2,9.8,2.4
SD,0.1596,0.1047,0.1318,0.2619,0.0853,,0.0983,0.1497,0.0058,0.7888,3.8528,3.8528,0.9661
