,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8062,0.8691,0.7625,0.9,0.75,,0.8182,0.5534,0.7778,9,5,3,1
0_1,0.5125,0.6072,0.525,0.3,0.6,,0.4,0.0555,0.5,3,6,2,7
0_2,0.7857,0.8697,0.6753,0.6364,0.7778,,0.7,0.3419,0.6667,7,5,2,4
0_3,0.6364,0.7088,0.6948,0.8182,0.75,,0.7826,0.4029,0.7222,9,4,3,2
0_4,0.8929,0.9403,0.8786,0.9,0.9,,0.9,0.7571,0.8824,9,6,1,1
0_5,0.6143,0.7122,0.6071,0.5,0.7143,,0.5882,0.2143,0.5882,5,5,2,5
0_6,0.3857,0.5738,0.4429,0.6,0.5455,,0.5714,-0.1177,0.4706,6,2,5,4
0_7,0.5214,0.7026,0.5143,0.6,0.6,,0.6,0.0286,0.5294,6,3,4,4
0_8,0.65,0.7547,0.5786,0.3,0.75,,0.4286,0.1823,0.5294,3,6,1,7
0_9,0.6214,0.6982,0.5571,0.4,0.6667,,0.5,0.1177,0.5294,4,5,2,6
0_Mean,0.6427,0.7437,0.6236,0.5955,0.7054,,0.6289,0.2536,0.6196,6.1,4.7,2.5,4.1
0_SD,0.1523,0.1173,0.1304,0.2258,0.1046,,0.1676,0.2638,0.1369,2.378141197564929,1.3374935098492586,1.2692955176439846,2.2335820757001272
Mean,0.6427,0.7437,0.6236,0.5955,0.7054,,0.6289,0.2536,0.6196,6.1,4.7,2.5,4.1
SD,0.1523,0.1173,0.1304,0.2258,0.1046,,0.1676,0.2638,0.1369,2.3781,1.3375,1.2693,2.2336
