,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7259,0.7077,0.6452,0.1005,0.1739,0.1851,0.7654
0_1,0.7343,0.7238,0.6774,0.105,0.1818,0.1992,0.7667
0_2,0.7424,0.716,0.6452,0.1075,0.1843,0.1971,0.7815
0_3,0.7735,0.7184,0.6667,0.1005,0.1747,0.1917,0.7664
0_4,0.7341,0.696,0.6452,0.0922,0.1613,0.1698,0.7429
0_5,0.7643,0.7165,0.6452,0.1081,0.1852,0.198,0.7824
0_6,0.6752,0.6469,0.5484,0.0791,0.1382,0.1277,0.7379
0_7,0.7037,0.6772,0.5806,0.0928,0.16,0.1594,0.7664
0_8,0.706,0.6888,0.6129,0.0941,0.1631,0.1675,0.759
0_9,0.8028,0.7508,0.7742,0.1017,0.1798,0.2119,0.7293
0_Mean,0.7362,0.7042,0.6441,0.0981,0.1702,0.1807,0.7598
0_SD,0.0372,0.0286,0.0603,0.0088,0.0147,0.0249,0.0178
Mean,0.7362,0.7042,0.6441,0.0982,0.1702,0.1807,0.7598
SD,0.0372,0.0286,0.0603,0.0088,0.0147,0.0249,0.0178
