,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7335,0.3399,0.7267,0.6471,0.0667,,0.1209,0.1613,0.803,11,641,154,6
0_1,0.6304,0.2388,0.6115,0.4118,0.0446,,0.0805,0.0809,0.803,7,645,150,10
0_2,0.6742,0.2199,0.6586,0.4706,0.0615,,0.1088,0.1238,0.8387,8,673,122,9
0_3,0.7113,0.3385,0.6991,0.5882,0.0621,,0.1124,0.143,0.8054,10,644,151,7
0_4,0.726,0.3387,0.691,0.5882,0.0575,,0.1047,0.1333,0.7894,10,631,164,7
0_5,0.6766,0.2551,0.6557,0.5,0.0506,,0.092,0.1093,0.8052,8,645,150,8
0_6,0.7369,0.3174,0.736,0.6471,0.0733,,0.1317,0.1742,0.8212,11,655,139,6
0_7,0.8176,0.3538,0.7629,0.7059,0.0774,,0.1395,0.1916,0.8175,12,651,143,5
0_8,0.7328,0.3162,0.7123,0.5882,0.0714,,0.1274,0.1609,0.8311,10,664,130,7
0_9,0.7208,0.3217,0.7248,0.5882,0.0833,,0.146,0.1814,0.8557,10,684,110,7
0_Mean,0.716,0.304,0.6979,0.5735,0.0649,,0.1164,0.146,0.817,9.7,653.3,141.3,7.2
0_SD,0.0496,0.0477,0.0451,0.089,0.012,,0.0208,0.0347,0.02,1.5670212364724212,16.076552974924553,16.36425644167461,1.4757295747452437
Mean,0.716,0.304,0.6979,0.5735,0.0648,,0.1164,0.146,0.817,9.7,653.3,141.3,7.2
SD,0.0496,0.0477,0.0451,0.089,0.012,,0.0208,0.0347,0.02,1.567,16.0766,16.3643,1.4757
