,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.9687,0.9496,1.0,0.0263,0.0513,0.1538,0.8995
0_1,0.7091,0.705,0.5,0.0149,0.029,0.0742,0.909
0_2,0.717,0.7132,0.5,0.0182,0.0351,0.0844,0.9253
0_3,0.904,0.4557,0.0,0.0,,-0.0115,0.9102
0_4,0.9741,0.9571,1.0,0.0156,0.0308,0.1195,0.9143
0_5,0.436,0.4469,0.0,0.0,,-0.0127,0.8925
0_6,0.4516,0.4659,0.0,0.0,,-0.0141,0.9293
0_7,0.4441,0.4557,0.0,0.0,,-0.0163,0.9088
0_8,0.7121,0.7098,0.5,0.0167,0.0323,0.0798,0.9184
0_9,0.704,0.7023,0.5,0.0141,0.0274,0.0713,0.9034
0_Mean,0.7021,0.6561,0.4,0.0106,0.0343,0.0529,0.9111
0_SD,0.2072,0.1965,0.3944,0.0097,0.0087,0.0622,0.0113
Mean,0.7021,0.6561,0.4,0.0106,0.0343,0.0528,0.9111
SD,0.2072,0.1965,0.3944,0.0097,0.0087,0.0622,0.0113
