,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7846,0.7819,0.7647,0.0751,0.1368,0.1971,0.7983
0_1,0.5908,0.5207,0.25,0.0235,0.043,0.0142,0.7808
0_2,0.6339,0.5939,0.375,0.0387,0.0702,0.0664,0.8042
0_3,0.6303,0.5839,0.375,0.0351,0.0642,0.0572,0.7845
0_4,0.674,0.587,0.375,0.0361,0.0659,0.06,0.7906
0_5,0.5867,0.5813,0.375,0.0343,0.0628,0.055,0.7796
0_6,0.6501,0.6233,0.4706,0.043,0.0788,0.084,0.7697
0_7,0.4976,0.4744,0.1765,0.0163,0.0299,-0.0175,0.7599
0_8,0.6788,0.659,0.5294,0.0508,0.0928,0.1103,0.7833
0_9,0.7073,0.7116,0.6471,0.0582,0.1068,0.1434,0.7734
0_Mean,0.6434,0.6117,0.4338,0.0411,0.0751,0.077,0.7824
0_SD,0.0773,0.0889,0.1762,0.017,0.0309,0.0616,0.0132
Mean,0.6434,0.6117,0.4338,0.0411,0.0751,0.077,0.7824
SD,0.0773,0.0889,0.1762,0.0169,0.0309,0.0616,0.0132
