,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7873,0.2123,0.7379,0.5758,0.1959,,0.2923,0.2896,0.8868,19,702,78,14
0_1,0.7929,0.1905,0.7221,0.5455,0.1856,,0.2769,0.2704,0.8844,18,701,79,15
0_2,0.714,0.1302,0.6531,0.4062,0.1429,,0.2114,0.1889,0.8805,13,702,78,19
0_3,0.7919,0.1342,0.678,0.4688,0.1456,,0.2222,0.2081,0.8707,15,692,88,17
0_4,0.8223,0.1899,0.7345,0.5625,0.1978,,0.2927,0.2892,0.8929,18,707,73,14
0_5,0.7111,0.1361,0.7293,0.5625,0.1818,,0.2748,0.2727,0.883,18,699,81,14
0_6,0.7878,0.1172,0.6499,0.4062,0.1354,,0.2031,0.1807,0.8744,13,697,83,19
0_7,0.7783,0.1465,0.7312,0.5625,0.1875,,0.2812,0.2787,0.8867,18,702,78,14
0_8,0.8352,0.2592,0.7649,0.6364,0.2019,,0.3066,0.3131,0.883,21,696,83,12
0_9,0.8387,0.1917,0.7175,0.5455,0.1731,,0.2628,0.2571,0.8756,18,693,86,15
0_Mean,0.7859,0.1708,0.7118,0.5272,0.1747,,0.2624,0.2548,0.8818,17.1,699.1,80.7,15.3
0_SD,0.044,0.0452,0.0384,0.0755,0.0246,,0.0368,0.0459,0.0067,2.6012817353502227,4.62961481479111,4.4234225060089685,2.3118054512532935
Mean,0.786,0.1708,0.7118,0.5272,0.1748,,0.2624,0.2548,0.8818,17.1,699.1,80.7,15.3
SD,0.044,0.0452,0.0384,0.0756,0.0246,,0.0368,0.0459,0.0067,2.6013,4.6296,4.4234,2.3118
