,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.9731,0.1568,0.8258,0.6667,0.1538,,0.25,0.3152,0.9836,2,719,11,1
0_1,0.8753,0.376,0.8217,0.6667,0.1053,,0.1818,0.2585,0.9754,2,713,17,1
0_2,0.7009,0.6679,0.8258,0.6667,0.1538,,0.25,0.3152,0.9836,2,719,11,1
0_3,0.7986,0.6685,0.8183,0.6667,0.0833,,0.1481,0.2284,0.9686,2,708,22,1
0_4,0.9826,0.4222,0.8231,0.6667,0.1176,,0.2,0.2741,0.9782,2,715,15,1
0_5,0.8851,0.509,0.7425,0.5,0.1538,,0.2353,0.2707,0.9823,2,718,11,2
0_6,0.7507,0.1095,0.7431,0.5,0.1667,,0.25,0.2823,0.9836,2,719,10,2
0_7,0.7447,0.3177,0.7425,0.5,0.1538,,0.2353,0.2707,0.9823,2,718,11,2
0_8,0.695,0.0158,0.4904,0.0,0.0,,,-0.009,0.9768,0,715,14,3
0_9,0.6027,0.0055,0.4883,0.0,0.0,,,-0.0099,0.9727,0,712,17,3
0_Mean,0.8009,0.3249,0.7321,0.4833,0.1088,,0.2188,0.2196,0.9787,1.6,715.6,13.9,1.7
0_SD,0.1254,0.2481,0.1331,0.2659,0.0631,,0.0381,0.1233,0.0053,0.8432740427115678,3.7178249316263163,3.8715486421958962,0.8232726023485646
Mean,0.8009,0.3249,0.7322,0.4834,0.1088,,0.2188,0.2196,0.9787,1.6,715.6,13.9,1.7
SD,0.1254,0.2481,0.1331,0.2659,0.0631,,0.0381,0.1233,0.0053,0.8433,3.7178,3.8715,0.8233
