,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6661,0.6162,0.4082,0.1307,0.198,0.1416,0.799
0_1,0.6297,0.6304,0.4286,0.1419,0.2132,0.161,0.8077
0_2,0.7002,0.6693,0.4694,0.1885,0.269,0.2258,0.8449
0_3,0.5959,0.5372,0.2449,0.0851,0.1263,0.0469,0.794
0_4,0.6702,0.6373,0.449,0.1429,0.2167,0.1669,0.8027
0_5,0.6377,0.5815,0.3333,0.1103,0.1658,0.1004,0.8
0_6,0.632,0.6289,0.4375,0.1338,0.2049,0.1541,0.7975
0_7,0.6245,0.6374,0.4583,0.1366,0.2105,0.1626,0.795
0_8,0.6461,0.6522,0.5,0.1395,0.2182,0.1759,0.7863
0_9,0.6945,0.6512,0.4583,0.1571,0.234,0.189,0.8211
0_Mean,0.6497,0.6242,0.4188,0.1367,0.2057,0.1524,0.8048
0_SD,0.0327,0.0386,0.0755,0.027,0.0382,0.049,0.0168
Mean,0.6497,0.6242,0.4188,0.1366,0.2057,0.1524,0.8048
SD,0.0327,0.0386,0.0755,0.027,0.0382,0.049,0.0168
