,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6341,0.5818,0.2353,0.0656,0.1026,0.0889,0.9139
0_1,0.5912,0.5642,0.1875,0.06,0.0909,0.0743,0.9261
0_2,0.6854,0.6274,0.3125,0.098,0.1493,0.1459,0.9298
0_3,0.5906,0.5835,0.25,0.0571,0.093,0.0827,0.9039
0_4,0.7117,0.6179,0.3125,0.0758,0.122,0.12,0.9113
0_5,0.4527,0.5873,0.25,0.0625,0.1,0.0901,0.9113
0_6,0.4514,0.5205,0.1176,0.0317,0.05,0.0219,0.9064
0_7,0.5266,0.5312,0.1176,0.0435,0.0635,0.0386,0.9273
0_8,0.6157,0.6125,0.2941,0.0833,0.1299,0.1231,0.9175
0_9,0.6159,0.5818,0.2353,0.0656,0.1026,0.0889,0.9138
0_Mean,0.5875,0.5808,0.2312,0.0643,0.1004,0.0874,0.9161
0_SD,0.0877,0.0349,0.0712,0.0189,0.0294,0.0375,0.0089
Mean,0.5875,0.5808,0.2312,0.0643,0.1004,0.0874,0.9161
SD,0.0877,0.0349,0.0712,0.0189,0.0294,0.0375,0.0089
