,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7294,0.7202,0.6081,0.56,0.56,,0.56,0.2162,0.614,14,21,11,11
0_1,0.7625,0.687,0.7281,0.8,0.6452,,0.7143,0.4545,0.7193,20,21,11,5
0_2,0.6344,0.5683,0.675,0.6,0.6522,,0.625,0.354,0.6842,15,24,8,10
0_3,0.7525,0.7596,0.6862,0.56,0.7,,0.6222,0.3873,0.7018,14,26,6,11
0_4,0.7263,0.672,0.6638,0.64,0.6154,,0.6275,0.3263,0.6667,16,22,10,9
0_5,0.795,0.7476,0.69,0.88,0.5789,,0.6984,0.4,0.6667,22,16,16,3
0_6,0.7788,0.7018,0.7106,0.64,0.6957,,0.6667,0.4261,0.7193,16,25,7,9
0_7,0.7357,0.6171,0.7135,0.7083,0.6538,,0.68,0.4238,0.7143,17,23,9,7
0_8,0.6615,0.6098,0.5938,0.625,0.5172,,0.566,0.1857,0.5893,15,18,14,9
0_9,0.8659,0.8477,0.7865,0.7917,0.7308,,0.76,0.5685,0.7857,19,25,7,5
0_Mean,0.7442,0.6931,0.6856,0.6805,0.6349,,0.652,0.3742,0.6861,16.8,22.1,9.9,7.9
0_SD,0.0654,0.0822,0.0562,0.1101,0.0674,,0.0639,0.1122,0.0563,2.6997942308422114,3.2128215360057304,3.212821536005731,2.766867462592951
Mean,0.7442,0.6931,0.6856,0.6805,0.6349,,0.652,0.3742,0.6861,16.8,22.1,9.9,7.9
SD,0.0654,0.0822,0.0562,0.1101,0.0674,,0.0639,0.1122,0.0563,2.6998,3.2128,3.2128,2.7669
