,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7816,0.3903,0.7343,0.5,0.2424,,0.3265,0.3298,0.9593,8,770,25,8
0_1,0.6647,0.0501,0.603,0.25,0.1026,,0.1455,0.1339,0.942,4,760,35,12
0_2,0.6185,0.163,0.6349,0.3125,0.1282,,0.1818,0.1753,0.9445,5,761,34,11
0_3,0.7175,0.1292,0.6749,0.375,0.2308,,0.2857,0.2762,0.963,6,775,20,10
0_4,0.6914,0.2433,0.7362,0.5,0.2667,,0.3478,0.348,0.963,8,773,22,8
0_5,0.8144,0.5746,0.8359,0.7059,0.3077,,0.4286,0.4499,0.9605,12,767,27,5
0_6,0.6205,0.1476,0.5962,0.2353,0.1053,,0.1455,0.1305,0.942,4,760,34,13
0_7,0.7462,0.257,0.662,0.3529,0.2069,,0.2609,0.2499,0.9581,6,771,23,11
0_8,0.7041,0.1192,0.5988,0.2353,0.1176,,0.1569,0.1412,0.947,4,764,30,13
0_9,0.7524,0.3663,0.774,0.5882,0.2381,,0.339,0.3542,0.9519,10,762,32,7
0_Mean,0.7111,0.244,0.685,0.4055,0.1946,,0.2618,0.2589,0.9531,6.7,766.3,28.2,9.8
0_SD,0.065,0.1592,0.0823,0.1619,0.0748,,0.1002,0.1115,0.0086,2.7507574714370344,5.657836257007719,5.533734925185902,2.6997942308422114
Mean,0.7111,0.2441,0.685,0.4055,0.1946,,0.2618,0.2589,0.9531,6.7,766.3,28.2,9.8
SD,0.065,0.1592,0.0823,0.1619,0.0748,,0.1002,0.1115,0.0086,2.7508,5.6578,5.5337,2.6998
