,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6756,0.2305,0.7077,0.4444,0.2581,,0.3265,0.3192,0.9593,8,770,23,10
0_1,0.7501,0.248,0.6957,0.4444,0.16,,0.2353,0.2398,0.9359,8,751,42,10
0_2,0.6988,0.2818,0.6175,0.2778,0.1282,,0.1754,0.1617,0.942,5,759,34,13
0_3,0.8332,0.349,0.6954,0.4211,0.25,,0.3137,0.3036,0.9568,8,768,24,11
0_4,0.958,0.5843,0.9209,0.8947,0.2881,,0.4359,0.4902,0.9457,17,750,42,2
0_5,0.779,0.4388,0.6941,0.4211,0.2353,,0.3019,0.293,0.9544,8,766,26,11
0_6,0.7943,0.5129,0.743,0.5263,0.2381,,0.3279,0.3317,0.9494,10,760,32,9
0_7,0.7763,0.2921,0.7064,0.4444,0.2424,,0.3137,0.3079,0.9568,8,767,25,10
0_8,0.6996,0.2513,0.6496,0.3333,0.1818,,0.2353,0.2231,0.9519,6,765,27,12
0_9,0.846,0.4393,0.791,0.6111,0.3235,,0.4231,0.4279,0.963,11,769,23,7
0_Mean,0.7811,0.3628,0.7221,0.4819,0.2306,,0.3089,0.3098,0.9515,8.9,762.5,29.8,9.5
0_SD,0.0843,0.1239,0.084,0.1714,0.0588,,0.0807,0.0953,0.0084,3.3149493041204847,7.261006970263988,7.390684827688313,3.100179206289712
Mean,0.7811,0.3628,0.7221,0.4819,0.2306,,0.3089,0.3098,0.9515,8.9,762.5,29.8,9.5
SD,0.0843,0.1239,0.084,0.1714,0.0588,,0.0807,0.0953,0.0084,3.3149,7.261,7.3907,3.1002
