,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.699,0.0721,0.6154,0.25,0.0667,,0.1053,0.1201,0.9768,1,716,14,3
0_1,0.5182,0.0057,0.4925,0.0,0.0,,,-0.0091,0.9796,0,719,11,4
0_2,0.8712,0.0787,0.8244,0.6667,0.1333,,0.2222,0.2926,0.9809,2,717,13,1
0_3,0.5881,0.0077,0.4849,0.0,0.0,,,-0.0113,0.9659,0,708,22,3
0_4,0.9155,0.0999,0.8258,0.6667,0.1538,,0.25,0.3152,0.9836,2,719,11,1
0_5,0.6836,0.0155,0.4911,0.0,0.0,,,-0.0086,0.9782,0,717,13,3
0_6,0.7927,0.3391,0.6523,0.3333,0.0455,,0.08,0.114,0.9686,1,709,21,2
0_7,0.8484,0.0193,0.4911,0.0,0.0,,,-0.0086,0.9782,0,717,13,3
0_8,0.9479,0.2296,0.8244,0.6667,0.1333,,0.2222,0.2926,0.9809,2,717,13,1
0_9,0.6274,0.0088,0.4952,0.0,0.0,,,-0.0063,0.9864,0,723,7,3
0_Mean,0.7492,0.0876,0.6197,0.2583,0.0533,,0.1759,0.1091,0.9779,0.8,716.2,13.8,2.4
0_SD,0.1471,0.1121,0.1529,0.3054,0.0644,,0.0774,0.1412,0.0063,0.9189365834726815,4.5166359162544865,4.5166359162544865,1.0749676997731399
Mean,0.7492,0.0876,0.6197,0.2583,0.0533,,0.1759,0.1091,0.9779,0.8,716.2,13.8,2.4
SD,0.1471,0.1121,0.1529,0.3054,0.0644,,0.0774,0.1412,0.0063,0.9189,4.5166,4.5166,1.075
