,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.654,0.1032,0.6247,0.3333,0.1081,,0.1633,0.1468,0.8988,8,720,66,16
0_1,0.7475,0.114,0.6313,0.3478,0.1067,,0.1633,0.1505,0.8986,8,719,67,15
0_2,0.5878,0.055,0.5245,0.1304,0.0448,,0.0667,0.0296,0.8962,3,722,64,20
0_3,0.7047,0.1197,0.6537,0.3913,0.12,,0.1837,0.1761,0.9011,9,720,66,14
0_4,0.7487,0.0867,0.6096,0.3043,0.0946,,0.1443,0.1263,0.8974,7,719,67,16
0_5,0.6872,0.0866,0.5904,0.2609,0.087,,0.1304,0.1075,0.9011,6,723,63,17
0_6,0.6463,0.0543,0.5642,0.2174,0.0667,,0.102,0.0735,0.8912,5,716,70,18
0_7,0.7465,0.12,0.683,0.4348,0.1562,,0.2299,0.2254,0.9172,10,732,54,13
0_8,0.6868,0.1257,0.6486,0.375,0.1286,,0.1915,0.1794,0.9061,9,724,61,15
0_9,0.6901,0.1954,0.6606,0.4167,0.1176,,0.1835,0.1777,0.89,10,710,75,14
0_Mean,0.69,0.1061,0.619,0.3212,0.103,,0.1559,0.1393,0.8998,7.5,720.5,65.3,15.8
0_SD,0.0515,0.0406,0.0482,0.0953,0.0317,,0.0472,0.0573,0.0077,2.273030282830976,5.66176258382101,5.538752366533259,2.0976176963403033
Mean,0.69,0.1061,0.6191,0.3212,0.103,,0.1559,0.1393,0.8998,7.5,720.5,65.3,15.8
SD,0.0515,0.0406,0.0482,0.0953,0.0317,,0.0472,0.0573,0.0077,2.273,5.6618,5.5388,2.0976
