,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6714,0.6025,0.2632,0.098,0.1429,0.1278,0.926
0_1,0.6958,0.6352,0.3158,0.1429,0.1967,0.1845,0.9396
0_2,0.6997,0.6114,0.2632,0.1351,0.1786,0.1615,0.9433
0_3,0.6508,0.6089,0.2632,0.122,0.1667,0.1503,0.9383
0_4,0.5895,0.5474,0.1579,0.0566,0.0833,0.058,0.9186
0_5,0.571,0.6032,0.2632,0.1,0.1449,0.1298,0.9273
0_6,0.6622,0.6352,0.3158,0.1429,0.1967,0.1845,0.9396
0_7,0.6133,0.6333,0.3158,0.1333,0.1875,0.1761,0.9359
0_8,0.7778,0.701,0.45,0.1915,0.2687,0.2668,0.9396
0_9,0.5752,0.6263,0.3158,0.1071,0.16,0.1507,0.9222
0_Mean,0.6507,0.6204,0.2924,0.1229,0.1726,0.159,0.933
0_SD,0.0653,0.0384,0.0734,0.0358,0.0477,0.0531,0.0087
Mean,0.6507,0.6204,0.2924,0.1229,0.1726,0.159,0.933
SD,0.0653,0.0384,0.0734,0.0358,0.0477,0.0531,0.0087
