,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5875,0.6521,0.5588,0.68,0.4857,,0.5667,0.1198,0.5439,17,14,18,8
0_1,0.5212,0.6372,0.5006,0.72,0.439,,0.5455,0.0014,0.4737,18,9,23,7
0_2,0.5944,0.6403,0.5969,0.6,0.5357,,0.566,0.1923,0.5965,15,19,13,10
0_3,0.5975,0.6601,0.5856,0.64,0.5161,,0.5714,0.1706,0.5789,16,17,15,9
0_4,0.5944,0.6567,0.61,0.72,0.5294,,0.6102,0.2225,0.5965,18,16,16,7
0_5,0.6075,0.6795,0.5631,0.72,0.4865,,0.5806,0.1313,0.5439,18,13,19,7
0_6,0.6031,0.6888,0.6275,0.88,0.5238,,0.6567,0.2874,0.5965,22,12,20,3
0_7,0.4525,0.5648,0.4635,0.5833,0.4,,0.4746,-0.0745,0.4464,14,11,21,10
0_8,0.5547,0.641,0.5521,0.6667,0.4706,,0.5517,0.1056,0.5357,16,14,18,8
0_9,0.694,0.7543,0.6719,0.875,0.5526,,0.6774,0.3642,0.6429,21,15,17,3
0_Mean,0.5807,0.6575,0.573,0.7085,0.494,,0.5801,0.152,0.5555,17.5,14.0,18.0,7.2
0_SD,0.0627,0.0477,0.0604,0.1012,0.0475,,0.0576,0.1282,0.0601,2.5055493963954847,2.943920288775949,2.943920288775949,2.485513584307633
Mean,0.5807,0.6575,0.573,0.7085,0.4939,,0.5801,0.1521,0.5555,17.5,14.0,18.0,7.2
SD,0.0627,0.0477,0.0604,0.1012,0.0475,,0.0576,0.1282,0.0601,2.5055,2.9439,2.9439,2.4855
