,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7069,0.7079,0.4839,0.2206,0.303,0.2877,0.9148
0_1,0.7805,0.7395,0.5484,0.2394,0.3333,0.325,0.916
0_2,0.8764,0.7924,0.6452,0.2985,0.4082,0.4073,0.9284
0_3,0.7917,0.7512,0.5667,0.2537,0.3505,0.3445,0.9221
0_4,0.8002,0.744,0.5484,0.2656,0.3579,0.3471,0.9246
0_5,0.6786,0.7201,0.4839,0.3061,0.375,0.3542,0.9382
0_6,0.8157,0.7066,0.4839,0.2143,0.297,0.2821,0.9122
0_7,0.7277,0.6698,0.4194,0.1733,0.2453,0.2248,0.9011
0_8,0.8089,0.7556,0.5806,0.25,0.3495,0.3447,0.9172
0_9,0.8091,0.7395,0.5484,0.2394,0.3333,0.325,0.9159
0_Mean,0.7796,0.7327,0.5309,0.2461,0.3353,0.3242,0.9191
0_SD,0.0588,0.0334,0.0639,0.0392,0.0453,0.0496,0.01
Mean,0.7796,0.7327,0.5309,0.2461,0.3353,0.3242,0.919
SD,0.0588,0.0334,0.0639,0.0392,0.0453,0.0496,0.01
