,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5967,0.3141,0.6017,0.5882,0.0316,,0.0601,0.0597,0.6145,10,489,306,7
0_1,0.5045,0.2228,0.5221,0.4706,0.0231,,0.044,0.0128,0.5714,8,456,339,9
0_2,0.5596,0.2255,0.5447,0.4706,0.0257,,0.0488,0.0263,0.6158,8,492,303,9
0_3,0.6496,0.2583,0.5836,0.5294,0.0303,,0.0573,0.0497,0.6355,9,507,288,8
0_4,0.6851,0.3472,0.6411,0.6471,0.0365,,0.0692,0.0837,0.6355,11,505,290,6
0_5,0.6324,0.3015,0.6482,0.6875,0.0342,,0.0651,0.0842,0.6104,11,484,311,5
0_6,0.6436,0.3744,0.664,0.7059,0.0385,,0.0729,0.0966,0.6239,12,494,300,5
0_7,0.4795,0.2221,0.5094,0.4118,0.0219,,0.0417,0.0055,0.603,7,482,312,10
0_8,0.6469,0.3159,0.6071,0.5882,0.0326,,0.0617,0.0633,0.6252,10,497,297,7
0_9,0.6002,0.314,0.6014,0.5882,0.0316,,0.0601,0.0596,0.6141,10,488,306,7
0_Mean,0.5998,0.2896,0.5923,0.5687,0.0306,,0.0581,0.0541,0.6149,9.6,489.4,305.2,7.3
0_SD,0.0668,0.0544,0.0529,0.0975,0.0055,,0.0104,0.0309,0.0185,1.577621275493231,14.299961149908379,14.335658726096653,1.7029386365926402
Mean,0.5998,0.2896,0.5923,0.5687,0.0306,,0.0581,0.0541,0.6149,9.6,489.4,305.2,7.3
SD,0.0668,0.0544,0.0529,0.0975,0.0055,,0.0104,0.0309,0.0185,1.5776,14.3,14.3357,1.7029
