,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7195,0.2585,0.6658,0.5,0.016,,0.031,0.0649,0.8297,2,607,123,2
0_1,0.3288,0.0035,0.4966,0.0,0.0,,,-0.0061,0.9877,0,725,5,4
0_2,0.4041,0.0033,0.4096,0.0,0.0,,,-0.03,0.8158,0,598,132,3
0_3,0.5155,0.172,0.6167,0.3333,0.0135,,0.026,0.0494,0.8977,1,657,73,2
0_4,0.1626,0.0024,0.4089,0.0,0.0,,,-0.0302,0.8145,0,597,133,3
0_5,0.4393,0.0034,0.4644,0.0,0.0,,,-0.0177,0.925,0,678,52,3
0_6,0.7416,0.1735,0.5858,0.3333,0.0084,,0.0164,0.0297,0.8363,1,612,118,2
0_7,0.708,0.1728,0.5893,0.3333,0.0088,,0.0171,0.0315,0.8431,1,617,113,2
0_8,0.8621,0.3535,0.7991,0.6667,0.0385,,0.0727,0.1488,0.9304,2,680,50,1
0_9,0.3235,0.0028,0.4548,0.0,0.0,,,-0.0202,0.9059,0,664,66,3
0_Mean,0.5205,0.1146,0.5491,0.2167,0.0085,,0.0326,0.022,0.8786,0.7,643.5,86.5,2.5
0_SD,0.2271,0.1292,0.1254,0.2491,0.0122,,0.0232,0.0562,0.059,0.8232726023485646,43.495210464295184,43.495210464295184,0.8498365855987975
Mean,0.5205,0.1146,0.5491,0.2167,0.0085,,0.0326,0.022,0.8786,0.7,643.5,86.5,2.5
SD,0.2271,0.1291,0.1254,0.2491,0.0122,,0.0232,0.0562,0.059,0.8233,43.4952,43.4952,0.8498
