,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6824,0.2544,0.6043,0.3,0.2593,,0.2781,0.1955,0.8499,21,596,60,49
0_1,0.7138,0.2986,0.6204,0.3429,0.2637,,0.2981,0.2146,0.8444,24,589,67,46
0_2,0.6769,0.1623,0.5824,0.2899,0.1961,,0.2339,0.1391,0.8193,20,574,82,49
0_3,0.7263,0.2303,0.5988,0.3043,0.2308,,0.2625,0.1751,0.8372,21,586,70,48
0_4,0.6951,0.2363,0.6206,0.3571,0.2475,,0.2924,0.2057,0.8331,25,579,76,45
0_5,0.7481,0.2893,0.6534,0.4,0.3146,,0.3522,0.2762,0.8579,28,594,61,42
0_6,0.709,0.2096,0.5797,0.2571,0.2195,,0.2368,0.1487,0.84,18,591,64,52
0_7,0.6706,0.2312,0.5785,0.2714,0.2021,,0.2317,0.138,0.8262,19,580,75,51
0_8,0.7022,0.2649,0.6259,0.3571,0.266,,0.3049,0.2214,0.8428,25,586,69,45
0_9,0.6589,0.2101,0.5848,0.2857,0.2083,,0.241,0.1479,0.8262,20,579,76,50
0_Mean,0.6983,0.2387,0.6049,0.3166,0.2408,,0.2732,0.1862,0.8377,22.1,585.4,70.0,47.7
0_SD,0.0272,0.0404,0.0249,0.0455,0.0367,,0.0394,0.0449,0.0118,3.212821536005731,7.244921593011817,7.211102550927978,3.1287200080686173
Mean,0.6983,0.2387,0.6049,0.3166,0.2408,,0.2732,0.1862,0.8377,22.1,585.4,70.0,47.7
SD,0.0272,0.0404,0.0249,0.0455,0.0367,,0.0394,0.0449,0.0118,3.2128,7.2449,7.2111,3.1287
